Empty,Metabolite,Name,Reference,ID,Group,DOI,tCr_u,tCr_std,IU_u,IU_std,mM_u,mM_std,Notes
,Asc,Asc,2019_betinaip_39,6,Behavior - OFF - 3% Visual Contrast,10.1523/JNEUROSCI.3021-18.2019,,,2.154,0.358,,,
,Asc,Asc,2019_betinaip_39,7,Behavior - OFF - 12.5% Visual Contrast,10.1523/JNEUROSCI.3021-18.2019,,,2.191,0.472,,,
,Asc,Asc,2019_betinaip_39,8,Behavior - OFF - 50% Visual Contrast,10.1523/JNEUROSCI.3021-18.2019,,,2.156,0.435,,,
,Asc,Asc,2019_betinaip_39,9,Behavior - OFF - 100% Visual Contrast,10.1523/JNEUROSCI.3021-18.2019,,,2.223,0.355,,,
,Asc,Asc,2019_betinaip_39,10,Resting,10.1523/JNEUROSCI.3021-18.2019,,,2.154,0.432,,,
,Asc,Asc,2019_marjanska_68,1,Alzheimer's disease,10.3233/JAD-180861,,,,,1.52,0.24,
,Asc,Asc,2019_marjanska_68,2,Alzheimer's disease,10.3233/JAD-180861,,,,,1.66,0.24,
,Asc,Asc,2019_marjanska_68,3,Control,10.3233/JAD-180861,,,,,1.26,0.23,
,Asc,Asc,2019_marjanska_68,4,Control,10.3233/JAD-180861,,,,,1.42,0.23,
,Asc,Asc,2017_cheong_42,2,Control,10.1007/s11064-017-2248-2,,,,,2.5,0.5,
,Asc,Asc,2017_cheong_42,4,ALS,10.1007/s11064-017-2248-2,,,,,2.25,1,
,Asc,Asc,2020_dehghani_83,2,Protocol 2,10.1002/mrm.28066,,,0.85,0.25,,,
,Asc,Asc,2016_lopezkolkovsky_75,1,Healthy_Rodent,10.1002/mrm.25602,,,,,2.2,0.4,
,Asc,Asc,2018_deelchand_79,1,Healthy,10.1002/mrm.26788,,,,,2.053,1.633,
,Asc,Asc,2018_deelchand_79,2,Healthy,10.1002/mrm.26788,,,,,1.286,0.421,
,Asp,Asp,2018_adanyeguh_31,2,Healthy,10.1002/nbm.3880,,,,,3.1,0.5,Estimated Bar Graph
,Asp,Asp,2018_adanyeguh_31,4,HD,10.1002/nbm.3880,,,,,2.9,0.2,Estimated Bar Graph
,Asp,Asp,2018_bednarik_38,1,Healthy,10.1177/0271678X17695291,,,,,3.35,0.42,
,Asp,Asp,2021_akiyama_61,1,Control,10.2176/nmc.oa.2020-0274,,,0.59,0.2,,,
,Asp,Asp,2021_akiyama_61,2,NPH,10.2176/nmc.oa.2020-0274,,,0.49,0.71,,,
,Asp,Asp,2021_bednarik_15,1,Healthy,10.3389/fnins.2021.609485,,,,,3.7,0.3,
,Asp,Asp,2021_bednarik_15,2,Healthy,10.3389/fnins.2021.609485,,,,,3.68,0.3,
,Asp,Asp,2019_giapitzakis_81,1,Healthy,10.1002/mrm.27467,,,,,2.3,0.5,
,Asp,Asp,2019_giapitzakis_81,2,Healthy,10.1002/mrm.27467,,,,,1.5,0.8,
,Asp,Asp,2016_koob_11,1,Premature Neonates,10.1371/journal.pone.0160990,,,0.015,0.014,,,
,Asp,Asp,2016_koob_11,3,Infants - Control,10.1371/journal.pone.0160990,,,0.032,0.027,,,
,Asp,Asp,2019_marjanska_68,1,Alzheimer's disease,10.3233/JAD-180861,,,,,2.12,0.4,
,Asp,Asp,2019_marjanska_68,2,Alzheimer's disease,10.3233/JAD-180861,,,,,2.01,0.4,
,Asp,Asp,2019_marjanska_68,3,Control,10.3233/JAD-180861,,,,,1.98,0.345,
,Asp,Asp,2019_marjanska_68,4,Control,10.3233/JAD-180861,,,,,1.75,0.345,
,Asp,Asp,2019_starmose_20,1,Control,10.1186/s10194-019-1059-z,0.729,0.045,2.675,0.339,,,
,Asp,Asp,2019_starmose_20,2,Control,10.1186/s10194-019-1059-z,0.321,0.032,1.903,0.225,,,
,Asp,Asp,2019_starmose_20,3,Migraine with aura,10.1186/s10194-019-1059-z,0.452,0.032,2.718,0.29,,,
,Asp,Asp,2019_starmose_20,4,Migraine with aura,10.1186/s10194-019-1059-z,0.335,0.028,1.923,0.175,,,
,Asp,Asp,2018_povazan_79,1,Healthy,10.1002/mrm.26778,,,3.44,0.61,,,
,Asp,Asp,2018_povazan_79,2,Healthy,10.1002/mrm.26778,,,4.71,1.17,,,
,Asp,Asp,2018_povazan_79,3,Healthy,10.1002/mrm.26778,,,3.77,0.99,,,
,Asp,Asp,2018_povazan_79,4,Healthy,10.1002/mrm.26778,,,3.32,1.22,,,
,Asp,Asp,2018_povazan_79,5,Healthy,10.1002/mrm.26778,,,3.88,1.22,,,
,Asp,Asp,2018_povazan_79,6,Healthy,10.1002/mrm.26778,,,4.33,1.22,,,
,Asp,Asp,2018_povazan_79,7,Healthy,10.1002/mrm.26778,,,5.16,1.5,,,
,Asp,Asp,2020_menshchikov_84,2,Mild Traumatic Brain Injury ,10.1002/mrm.28332,0.029,0.004,,,0.83,0.13,
,Asp,Asp,2020_menshchikov_84,1,Control,10.1002/mrm.28332,0.035,0.004,,,0.95,0.12,
,Asp,Asp,2019_wiegers_62,1,Control,10.1007/s00125-019-4862-9,,,,,2.07,0.34,
,Asp,Asp,2019_wiegers_62,2,Type 1 diabetes - Normal awareness of hypoglycaemia,10.1007/s00125-019-4862-9,,,,,2.26,0.51,
,Asp,Asp,2019_wiegers_62,3,Type 1 diabetes,10.1007/s00125-019-4862-9,,,,,2.7,0.61,
,Asp,Asp,2019_reid_45,1,Control,10.1093/schbul/sbx190,,,1.49,0.21,,,
,Asp,Asp,2019_reid_45,2,Schizophrenia,10.1093/schbul/sbx190,,,1.45,0.23,,,
,Asp,Asp,2020_dehghani_83,1,Protocol 1,10.1002/mrm.28066,,,0.84,0.21,,,
,Asp,Asp,2020_dehghani_83,3,Protocol 3,10.1002/mrm.28066,,,1.08,0.17,,,
,Asp,Asp,2020_dehghani_83,3,Protocol 3,10.1002/mrm.28066,,,0.51,0.19,,,
,Asp,Asp,2018_giapitzakis_79,1,Healthy,10.1002/mrm.26873,,,,,3.38,0.638,Med/Quartile --> Mean/Std Greco 2015
,Asp,Asp,2018_giapitzakis_79,2,Healthy,10.1002/mrm.26873,,,,,1.91,2.774,Med/Quartile --> Mean/Std Wan 2014
,Asp,Asp,2016_lopezkolkovsky_75,1,Healthy_Rodent,10.1002/mrm.25602,,,,,2.9,0.3,
,Asp,Asp,2018_deelchand_79,1,Healthy,10.1002/mrm.26788,,,,,2.3,0.866,
,Asp,Asp,2018_deelchand_79,2,Healthy,10.1002/mrm.26788,,,,,3.314,0.965,
,Asp,Asp,2018_menshchikov_67,1,Healthy,10.1007/s11172-018-2119-2,0.18,0.015,,,,,
,Asp,Asp,2018_menshchikov_67,2,Healthy,10.1007/s11172-018-2119-2,0.207,0.011,,,,,
,BHB,BHB,2019_koush_184,1,Healthy (No Behavior),10.1016/j.neuroimage.2018.09.008,,,,,0.25,0.02,
,BHB,BHB,2019_koush_184,2,Healthy (Behavior),10.1016/j.neuroimage.2018.09.008,,,,,0.28,0.02,
,2HG,2HG,2019_branzoli_82,1,Cancer-1p/19q codeleted,10.1002/mrm.27810,,,,,2.52,2.14,
,2HG,2HG,2021_askari_86,1,IDH ,10.1002/mrm.28829,,,,,3.2,2,
,2HG,2HG,2021_askari_86,2,IDH,10.1002/mrm.28829,,,,,3.2,2,
,2HG,2HG,2021_askari_86,3,IDH WT,10.1002/mrm.28829,,,,,0.5,0.6,
,2HG,2HG,2018_an_79,1,Glioma - IDH1-mutated grade-II oligodendroglioma,10.1002/mrm.26884,,,0.052,0.053,,,
,2HG,2HG,2018_an_79,2,Glioma - IDH1-mutated grade-II oligodendroglioma,10.1002/mrm.26884,,,2.784,0.457,,,
,2HG,2HG,2018_an_79,3,Glioma - Radiographically suggested glioma,10.1002/mrm.26884,,,0,0.105,,,
,2HG,2HG,2018_an_79,4,Glioma - Radiographically suggested glioma,10.1002/mrm.26884,,,2.096,0.367,,,
,2HG,2HG,2018_an_79,5,Glioma - IDH wild-type glioblastoma,10.1002/mrm.26884,,,0,0.212,,,
,2HG,2HG,2018_an_79,6,Glioma - IDH wild-type glioblastoma,10.1002/mrm.26884,,,0,0.477,,,
,2HG,2HG,2018_berrington_31,1,Cancer - Glioma (IDH mutation),10.1002/nbm.3886,,,,,8.013,3.24,
,2HG,2HG,2018_berrington_31,2,Cancer - Glioma (IDH mutation),10.1002/nbm.3886,,,,,9.338,4.614,
,2HG,2HG,2018_berrington_31,3,Cancer - Glioma (IDH wild-type),10.1002/nbm.3886,,,,,2.9,,
,2HG,2HG,2018_berrington_31,4,Cancer - Glioma (IDH wild-type),10.1002/nbm.3886,,,,,0.3,,
,Chol,tCho,2017_hanquinet_27,1,control,10.1007/s00330-017-4808-x,0.8,0.1,,,,,Assumed Total (tCho) based on Analysis
,Chol,tCho,2017_hanquinet_27,2,isointense,10.1007/s00330-017-4808-x,0.8,0.2,,,,,Assumed Total (tCho) based on Analysis
,Chol,tCho,2017_hanquinet_27,3,hyperintense,10.1007/s00330-017-4808-x,0.7,0.1,,,,,Assumed Total (tCho) based on Analysis
,Chol,tCho,2017_hanquinet_27,4,much more hyperintense,10.1007/s00330-017-4808-x,0.8,0.3,,,,,Assumed Total (tCho) based on Analysis
,Cho,GPC,2017_sijens_42,1,control (normal development),10.1016/j.mri.2017.06.001,0.48,0.04,,,,,
,Cho,GPC,2017_sijens_42,5,mild disability,10.1016/j.mri.2017.06.001,0.49,0.01,,,,,
,Cho,GPC,2017_sijens_42,9,deceased,10.1016/j.mri.2017.06.001,0.5,0.06,,,,,
,Cho,GPC,2017_sijens_42,13,control (normal development),10.1016/j.mri.2017.06.001,0.44,0.05,,,,,
,Cho,GPC,2017_sijens_42,17,mild disability,10.1016/j.mri.2017.06.001,0.46,0.05,,,,,
,Cho,GPC,2017_sijens_42,21,deceased,10.1016/j.mri.2017.06.001,0.46,0.03,,,,,
,Cho,GPC,2019_andrade_13,1,Control,10.3389/fnhum.2019.00186,0.28,0.04,,,,,
,Cho,GPC,2019_andrade_13,2,OCD,10.3389/fnhum.2019.00186,0.29,0.05,,,,,
,Cho,GPC,2019_barbagallo_62,1,Control,10.1016/j.parkreldis.2018.12.008,0.3,0.01,1.49,0.1,,,
,Cho,GPC,2019_barbagallo_62,2,Progressive Supranuclear Palsy,10.1016/j.parkreldis.2018.12.008,0.299,0.013,1.125,0.125,,,
,Cho,GPC,2019_bell_39,1,Behavior,10.1523/JNEUROSCI.2110-18.2019,,,,,0.15,0.2,
,Cho,GPC,2019_bell_39,2,Behavior,10.1523/JNEUROSCI.2110-18.2019,,,,,0.24,0.17,
,Cho,GPC,2019_bell_39,3,Behavior,10.1523/JNEUROSCI.2110-18.2019,,,,,,,
,Cho,GPC,2019_bell_39,4,No-Behavior,10.1523/JNEUROSCI.2110-18.2019,,,,,0.11,0.16,
,Cho,GPC,2019_bell_39,5,No-Behavior,10.1523/JNEUROSCI.2110-18.2019,,,,,0.23,0.17,
,Cho,GPC,2019_bell_39,6,No-Behavior,10.1523/JNEUROSCI.2110-18.2019,,,,,,,
,PC/GPC,tCho,2019_bell_39,1,Behavior,10.1523/JNEUROSCI.2110-18.2019,,,,,0.27,0.1,
,PC/GPC,tCho,2019_bell_39,2,Behavior,10.1523/JNEUROSCI.2110-18.2019,,,,,0.27,0.12,
,PC/GPC,tCho,2019_bell_39,3,Behavior,10.1523/JNEUROSCI.2110-18.2019,,,,,,,
,PC/GPC,tCho,2019_bell_39,4,No-Behavior,10.1523/JNEUROSCI.2110-18.2019,,,,,0.36,0.14,
,PC/GPC,tCho,2019_bell_39,5,No-Behavior,10.1523/JNEUROSCI.2110-18.2019,,,,,0.25,0.14,
,PC/GPC,tCho,2019_bell_39,6,No-Behavior,10.1523/JNEUROSCI.2110-18.2019,,,,,,,
,tCho,tCho,2019_bell_39,1,Behavior,10.1523/JNEUROSCI.2110-18.2019,,,,,0.42,0.12,
,tCho,tCho,2019_bell_39,2,Behavior,10.1523/JNEUROSCI.2110-18.2019,,,,,0.5,0.17,
,tCho,tCho,2019_bell_39,3,Behavior,10.1523/JNEUROSCI.2110-18.2019,,,,,,,
,tCho,tCho,2019_bell_39,4,No-Behavior,10.1523/JNEUROSCI.2110-18.2019,,,,,0.46,0.1,
,tCho,tCho,2019_bell_39,5,No-Behavior,10.1523/JNEUROSCI.2110-18.2019,,,,,0.48,0.16,
,Cho,GPC,2019_bell_39,6,No-Behavior,10.1523/JNEUROSCI.2110-18.2019,,,,,,,
,Cho,tCho,2019_boban_27,1,Control,10.3174/ajnr.A5160,0.971,0.17,,,,,Assumed Total (tCho) based on Analysis
,Cho,tCho,2019_boban_27,2,Control,10.3174/ajnr.A5160,1.152,0.135,,,,,Assumed Total (tCho) based on Analysis
,Cho,tCho,2019_boban_27,3,Control,10.3174/ajnr.A5160,1.126,0.107,,,,,Assumed Total (tCho) based on Analysis
,Cho,tCho,2019_boban_27,4,Control,10.3174/ajnr.A5160,0.984,0.215,,,,,Assumed Total (tCho) based on Analysis
,Cho,tCho,2019_boban_27,5,Control,10.3174/ajnr.A5160,0.802,0.186,,,,,Assumed Total (tCho) based on Analysis
,Cho,tCho,2019_boban_27,6,Control,10.3174/ajnr.A5160,1.106,0.113,,,,,Assumed Total (tCho) based on Analysis
,Cho,tCho,2019_boban_27,7,Control,10.3174/ajnr.A5160,0.862,0.104,,,,,Assumed Total (tCho) based on Analysis
,Cho,tCho,2019_boban_27,8,Control,10.3174/ajnr.A5160,0.965,0.198,,,,,Assumed Total (tCho) based on Analysis
,Cho,tCho,2019_boban_27,9,Control,10.3174/ajnr.A5160,1.025,0.193,,,,,Assumed Total (tCho) based on Analysis
,Cho,tCho,2019_boban_27,10,Control,10.3174/ajnr.A5160,0.886,0.099,,,,,Assumed Total (tCho) based on Analysis
,Cho,tCho,2019_boban_27,11,Control,10.3174/ajnr.A5160,1.143,0.117,,,,,Assumed Total (tCho) based on Analysis
,Cho,tCho,2019_boban_27,12,Control,10.3174/ajnr.A5160,0.978,0.185,,,,,Assumed Total (tCho) based on Analysis
,Cho,tCho,2019_boban_27,13,HIV,10.3174/ajnr.A5160,1.055,0.212,,,,,Assumed Total (tCho) based on Analysis
,Cho,tCho,2019_boban_27,14,HIV,10.3174/ajnr.A5160,1.061,0.134,,,,,Assumed Total (tCho) based on Analysis
,Cho,tCho,2019_boban_27,15,HIV,10.3174/ajnr.A5160,1.191,0.198,,,,,Assumed Total (tCho) based on Analysis
,Cho,tCho,2019_boban_27,16,HIV,10.3174/ajnr.A5160,1.039,0.181,,,,,Assumed Total (tCho) based on Analysis
,Cho,tCho,2019_boban_27,17,HIV,10.3174/ajnr.A5160,0.824,0.156,,,,,Assumed Total (tCho) based on Analysis
,Cho,tCho,2019_boban_27,18,HIV,10.3174/ajnr.A5160,1.202,0.195,,,,,Assumed Total (tCho) based on Analysis
,Cho,tCho,2019_boban_27,19,HIV,10.3174/ajnr.A5160,0.828,0.11,,,,,Assumed Total (tCho) based on Analysis
,Cho,tCho,2019_boban_27,20,HIV,10.3174/ajnr.A5160,1.075,0.229,,,,,Assumed Total (tCho) based on Analysis
,Cho,tCho,2019_boban_27,21,HIV,10.3174/ajnr.A5160,1.053,0.201,,,,,Assumed Total (tCho) based on Analysis
,Cho,tCho,2019_boban_27,22,HIV,10.3174/ajnr.A5160,0.795,0.113,,,,,Assumed Total (tCho) based on Analysis
,Cho,tCho,2019_boban_27,23,HIV,10.3174/ajnr.A5160,1.085,0.14,,,,,Assumed Total (tCho) based on Analysis
,Cho,tCho,2019_boban_27,24,HIV,10.3174/ajnr.A5160,0.889,0.212,,,,,Assumed Total (tCho) based on Analysis
,Cho,tCho,2019_boban_27,25,cART,10.3174/ajnr.A5160,1.078,0.249,,,,,Assumed Total (tCho) based on Analysis
,Cho,tCho,2019_boban_27,26,cART,10.3174/ajnr.A5160,1.032,0.115,,,,,Assumed Total (tCho) based on Analysis
,Cho,tCho,2019_boban_27,27,cART,10.3174/ajnr.A5160,1.103,0.152,,,,,Assumed Total (tCho) based on Analysis
,Cho,tCho,2019_boban_27,28,cART,10.3174/ajnr.A5160,1.031,0.142,,,,,Assumed Total (tCho) based on Analysis
,Cho,tCho,2019_boban_27,29,cART,10.3174/ajnr.A5160,0.876,0.173,,,,,Assumed Total (tCho) based on Analysis
,Cho,tCho,2019_boban_27,30,cART,10.3174/ajnr.A5160,1.138,0.183,,,,,Assumed Total (tCho) based on Analysis
,Cho,tCho,2019_boban_27,31,cART,10.3174/ajnr.A5160,0.789,0.143,,,,,Assumed Total (tCho) based on Analysis
,Cho,tCho,2019_boban_27,32,cART,10.3174/ajnr.A5160,1.039,0.137,,,,,Assumed Total (tCho) based on Analysis
,Cho,tCho,2019_boban_27,33,cART,10.3174/ajnr.A5160,1.059,0.132,,,,,Assumed Total (tCho) based on Analysis
,Cho,tCho,2019_boban_27,34,cART,10.3174/ajnr.A5160,0.808,0.147,,,,,Assumed Total (tCho) based on Analysis
,Cho,tCho,2019_boban_27,35,cART,10.3174/ajnr.A5160,1.015,0.121,,,,,Assumed Total (tCho) based on Analysis
,Cho,tCho,2019_boban_27,36,cART,10.3174/ajnr.A5160,0.843,0.243,,,,,Assumed Total (tCho) based on Analysis
,Cho,tCho,2019_boban_27,37,HIV - cART_Long,10.1038/s41598-019-56330-0,0.991,0.127,,,,,Assumed Total (tCho) based on Analysis
,Cho,tCho,2019_boban_27,38,HIV - cART_Long,10.1038/s41598-019-56330-0,1.063,0.131,,,,,Assumed Total (tCho) based on Analysis
,Cho,tCho,2019_boban_27,39,HIV - cART_Long,10.1038/s41598-019-56330-0,1.05,0.128,,,,,Assumed Total (tCho) based on Analysis
,Cho,tCho,2019_boban_27,40,HIV - cART_Long,10.1038/s41598-019-56330-0,1.167,0.237,,,,,Assumed Total (tCho) based on Analysis
,Cho,tCho,2019_boban_27,41,HIV - cART_Long,10.1038/s41598-019-56330-0,1.049,0.197,,,,,Assumed Total (tCho) based on Analysis
,Cho,tCho,2019_boban_27,42,HIV - cART_Long,10.1038/s41598-019-56330-0,1.088,0.131,,,,,Assumed Total (tCho) based on Analysis
,Cho,tCho,2019_boban_27,43,HIV - cART_Long,10.1038/s41598-019-56330-0,1.074,0.117,,,,,Assumed Total (tCho) based on Analysis
,Cho,tCho,2019_boban_27,44,HIV - cART_Long,10.1038/s41598-019-56330-0,1.092,0.075,,,,,Assumed Total (tCho) based on Analysis
,Cho,tCho,2019_boban_27,45,HIV - cART_Long,10.1038/s41598-019-56330-0,1.052,0.125,,,,,Assumed Total (tCho) based on Analysis
,Cho,tCho,2019_boban_27,46,HIV - cART_Long,10.1038/s41598-019-56330-0,1.003,0.258,,,,,Assumed Total (tCho) based on Analysis
,Cho,tCho,2019_boban_27,47,HIV - cART_Long,10.1038/s41598-019-56330-0,1.014,0.226,,,,,Assumed Total (tCho) based on Analysis
,Cho,tCho,2019_boban_27,48,HIV - cART_Long,10.1038/s41598-019-56330-0,0.911,0.143,,,,,Assumed Total (tCho) based on Analysis
,Cho,GPC,2019_borgelt_21,1,Bipolar - First,10.1111/bdi.12782,,,,,2,0.45,
,Cho,GPC,2019_borgelt_21,2,Bipolar - First,10.1111/bdi.12782,,,,,2.05,0.39,
,Cho,GPC,2019_borgelt_21,3,Bipolar - First,10.1111/bdi.12782,,,,,1.67,0.38,
,Cho,GPC,2019_borgelt_21,4,Bipolar - Multiple,10.1111/bdi.12782,,,,,1.99,0.43,
,Cho,GPC,2019_borgelt_21,5,Bipolar - Multiple,10.1111/bdi.12782,,,,,2.8,0.36,
,Cho,GPC,2019_borgelt_21,6,Bipolar - Multiple,10.1111/bdi.12782,,,,,1.8,0.38,
,Cho,GPC,2019_bossong_76,1,Control,10.1001/jamapsychiatry.2018.3252,,,,,2.3,0.4,
,Cho,GPC,2019_bossong_76,2,Psychosis - HighRisk,10.1001/jamapsychiatry.2018.3252,,,,,2.4,0.43,
,Cho,GPC,2019_bossong_76,3,Psychosis,10.1001/jamapsychiatry.2018.3252,,,,,2.59,0.21,
,Cho,GPC,2019_brown_29,1,Corticosteroid,10.1016/j.euroneuro.2018.12.012,0.2,0.02,,,,,
,Cho,GPC,2019_brown_29,2,Corticosteroid,10.1016/j.euroneuro.2018.12.012,0.2,0.02,,,,,
,Cho,GPC,2019_brown_29,3,Corticosteroid,10.1016/j.euroneuro.2018.12.012,0.18,0.02,,,,,
,Cho,GPC,2019_brown_29,4,Corticosteroid,10.1016/j.euroneuro.2018.12.012,0.2,0.02,,,,,
,Cho,GPC,2019_brown_29,5,Corticosteroid,10.1016/j.euroneuro.2018.12.012,0.19,0.03,,,,,
,Cho,GPC,2019_brown_29,6,Corticosteroid,10.1016/j.euroneuro.2018.12.012,0.19,0.02,,,,,
,Cho,GPC,2019_brown_29,7,Corticosteroid,10.1016/j.euroneuro.2018.12.012,0.22,0.08,,,,,
,Cho,GPC,2019_brown_29,8,Corticosteroid,10.1016/j.euroneuro.2018.12.012,0.2,0.02,,,,,
,Cho,GPC,2019_bustillo_246,1,Control <40 GM,10.1016/j.jad.2018.12.064,,,,,3.2,0.6,
,Cho,GPC,2019_bustillo_246,2,Control <40 WM,10.1016/j.jad.2018.12.064,,,,,3.1,0.4,
,Cho,GPC,2019_bustillo_246,3,Control >40 GM,10.1016/j.jad.2018.12.064,,,,,3.5,0.6,
,Cho,GPC,2019_bustillo_246,4,Control >40 WM,10.1016/j.jad.2018.12.064,,,,,3.4,0.4,
,Cho,GPC,2019_bustillo_246,5,Bipolar <40 GM,10.1016/j.jad.2018.12.064,,,,,3.2,0.6,
,Cho,GPC,2019_bustillo_246,6,Bipolar <40 WM,10.1016/j.jad.2018.12.064,,,,,3.1,0.4,
,Cho,GPC,2019_bustillo_246,7,Bipolar >40 GM,10.1016/j.jad.2018.12.064,,,,,3.4,0.6,
,Cho,GPC,2019_bustillo_246,8,Bipolar >40 WM,10.1016/j.jad.2018.12.064,,,,,3.3,0.4,
,Cho,GPC,2019_bustillo_246,9,Schizophrenia <40 GM,10.1016/j.jad.2018.12.064,,,,,3.1,0.6,
,Cho,GPC,2019_bustillo_246,10,Schizophrenia <40 WM,10.1016/j.jad.2018.12.064,,,,,3.1,0.4,
,Cho,GPC,2019_bustillo_246,11,Schizophrenia >40 GM,10.1016/j.jad.2018.12.064,,,,,3.5,0.7,
,Cho,GPC,2019_bustillo_246,12,Schizophrenia >40 WM,10.1016/j.jad.2018.12.064,,,,,3.3,0.5,
,GPC+Pcho,tCho,2019_basu_9,1,Premature Infant,10.1038/s41598-018-37203-4,0.781,0.186,3.636,0.965,,,
,GPC+Pcho,tCho,2019_basu_9,5,Premature Infant,10.1038/s41598-018-37203-4,0.824,0.16,2.369,0.684,,,
,Cho,tCho,2019_chawla_32,1,Control,10.1177/1971400919846509,0.87,0.11,,,,,Assumed Total (tCho) based on Analysis
,Cho,tCho,2019_chawla_32,2,Cancer,10.1177/1971400919846509,1.31,0.05,,,,,Assumed Total (tCho) based on Analysis
,Cho,tCho,2019_cheng_43,1,Control,10.1097/RCT.0000000000000854,0.96,0.2,,,,,Assumed Total (tCho) based on Analysis
,Cho,tCho,2019_cheng_43,2,MMA-HC,10.1097/RCT.0000000000000854,0.93,0.26,,,,,Assumed Total (tCho) based on Analysis
,Cho,GPC,2019_cheong_90,1,Control - Visit 1,10.1136/jnnp-2018-318795,,,,,1.336,0.167,
,Cho,GPC,2019_cheong_90,2,Control - Visit 2,10.1136/jnnp-2018-318795,,,,,1.392,0.139,
,Cho,GPC,2019_cheong_90,3,Control - Visit 3,10.1136/jnnp-2018-318795,,,,,1.336,0.167,
,Cho,GPC,2019_cheong_90,4,Control - Visit 1,10.1136/jnnp-2018-318795,,,,,3.032,0.549,
,Cho,GPC,2019_cheong_90,5,Control - Visit 2,10.1136/jnnp-2018-318795,,,,,3.129,0.323,
,Cho,GPC,2019_cheong_90,6,Control - Visit 3,10.1136/jnnp-2018-318795,,,,,3.097,0.322,
,Cho,GPC,2019_cheong_90,7,ALS - Visit 1,10.1136/jnnp-2018-318795,,,,,1.373,0.165,
,Cho,GPC,2019_cheong_90,8,ALS - Visit 2,10.1136/jnnp-2018-318795,,,,,1.373,0.165,
,Cho,GPC,2019_cheong_90,9,ALS - Visit 3,10.1136/jnnp-2018-318795,,,,,1.373,0.055,
,Cho,GPC,2019_cheong_90,10,ALS - Visit 1,10.1136/jnnp-2018-318795,,,,,2.981,0.422,
,Cho,GPC,2019_cheong_90,11,ALS - Visit 2,10.1136/jnnp-2018-318795,,,,,2.949,0.519,
,Cho,GPC,2019_cheong_90,12,ALS - Visit 3,10.1136/jnnp-2018-318795,,,,,3.144,0.486,
,tCho,tCho,2019_davies_29,1,High-Risk Psychosis,10.1016/j.euroneuro.2019.03.008,0.33,0.02,2.37,0.41,,,
,tCho,tCho,2019_davies_29,2,High-Risk Psychosis,10.1016/j.euroneuro.2019.03.008,0.24,0.02,2.77,0.41,,,
,tCho,tCho,2019_davies_29,3,High-Risk Psychosis,10.1016/j.euroneuro.2019.03.008,0.29,0.02,2.13,0.2,,,
,tCho,tCho,2019_davies_29,4,High-Risk Psychosis,10.1016/j.euroneuro.2019.03.008,0.32,0.03,2.38,0.29,,,
,tCho,tCho,2019_davies_29,5,High-Risk Psychosis,10.1016/j.euroneuro.2019.03.008,0.25,0.02,2.93,0.36,,,
,tCho,tCho,2019_davies_29,6,High-Risk Psychosis,10.1016/j.euroneuro.2019.03.008,0.3,0.03,2.19,0.22,,,
,tCho,tCho,2018_adanyeguh_31,2,Healthy,10.1002/nbm.3880,,,,,1,0.1,Estimated Bar Graph 
