Empty,Complete,Download,Reference,ID,Control_ID,Treatment,Group,Additional_Group_Description,Visit,Intervention,DOI,Title,Tesla,Scanner_Manufacturer,Scanner_Model,N_Exclusions,N_Total,Female,Male,Age,Age_Std,Water_Supp,Lipid_Supp,Localization,Multi-Scan_Method,Water_Reference,Bandwidth (Hz),Vector-Size,N_Averages,TR (ms),N_TR,TE (ms),N_TE,TI (ms),N_TI,Voxel_Region,Left/Right/Both,Preprocessing,Metab-Nulled/Cycled,Fitting,Segmentation,Partial_Volume,Relaxation,Tissue,GM,GM_Std,WM,WM_Std,CSF,CSF_Std,Voxel_X,Voxel_Y,Voxel_Z,Volume,Contact,Notes,Site
,X,X,2010_terpstra_24,8,No Control,0,Healthy,Treated,6Hours,Vitamin C Infusion,10.1002/nbm.1619,Noninvasive quantification of human brain antioxidant concentrations after an intravenous bolus of vitamin C,4,Siemens/Oxford,,10,11,8,3,28,13,,,PRESS,MEGA,1,6000,4035,96,4500,1,102/112/122/132/142/152,6,,0,Occipital,Both,LCModel,0,LCModel,,0,1,,,,,,,,30,30,30,27,,,
,X,X,2010_terpstra_24,9,No Control,0,Healthy,Treated,10Hours,Vitamin C Infusion,10.1002/nbm.1619,Noninvasive quantification of human brain antioxidant concentrations after an intravenous bolus of vitamin C,4,Siemens/Oxford,,10,11,8,3,28,13,,,PRESS,MEGA,1,6000,4035,96,4500,1,102/112/122/132/142/152,6,,0,Occipital,Both,LCModel,0,LCModel,,0,1,,,,,,,,30,30,30,27,,,
,X,X,2010_terpstra_24,10,No Control,0,Healthy,Treated,24Hours,Vitamin C Infusion,10.1002/nbm.1619,Noninvasive quantification of human brain antioxidant concentrations after an intravenous bolus of vitamin C,4,Siemens/Oxford,,10,11,8,3,28,13,,,PRESS,MEGA,1,6000,4035,96,4500,1,102/112/122/132/142/152,6,,0,Occipital,Both,LCModel,0,LCModel,,0,1,,,,,,,,30,30,30,27,,,
,X,X,2014_gomar_75,1,No Control,0,Control,APOE3 Ages 50-60,,,10.1016/j.biopsych.2013.05.022,APOE Genotype Modulates Proton Magnetic Resonance Spectroscopy Metabolites in the Aging Brain,3,GE,Twinspeed,20,89,60,28,55.38,2.97,CHESS,,PRESS,,0,,2048,128,1600,1,30,1,,0,"Posterior Cingulate, Precuneus",Both,GE,0,GE,,0,0,,,,,,,,20,20,27,10.8,,"All values were estimated from Scatter Plot; Age was broken down under 60 and over 60 to even out the group Ns. However, total subjects and Male/Female breakdown reflects the information provided within the article.",
,X,X,2014_gomar_75,2,1,0,APOE4,APOE4 Ages 50-60,,,10.1016/j.biopsych.2013.05.022,APOE Genotype Modulates Proton Magnetic Resonance Spectroscopy Metabolites in the Aging Brain,3,GE,Twinspeed,9,23,13,9,54.16,4.14,CHESS,,PRESS,,0,,2048,128,1600,1,30,1,,0,"Posterior Cingulate, Precuneus",Both,GE,0,GE,,0,0,,,,,,,,20,20,27,10.8,,"All values were estimated from Scatter Plot; Age was broken down under 60 and over 60 to even out the group Ns. However, total subjects and Male/Female breakdown reflects the information provided within the article.",
,X,X,2014_gomar_75,3,No Control,0,Control,APOE3 Ages 61-90,,,10.1016/j.biopsych.2013.05.022,APOE Genotype Modulates Proton Magnetic Resonance Spectroscopy Metabolites in the Aging Brain,3,GE,Twinspeed,59,89,60,28,72.54,7.24,CHESS,,PRESS,,0,,2048,128,1600,1,30,1,,0,"Posterior Cingulate, Precuneus",Both,GE,0,GE,,0,0,,,,,,,,20,20,27,10.8,,"All values were estimated from Scatter Plot; Age was broken down under 60 and over 60 to even out the group Ns. However, total subjects and Male/Female breakdown reflects the information provided within the article.",
,X,X,2014_gomar_75,4,3,0,APOE4,APOE4 Ages 61-90,,,10.1016/j.biopsych.2013.05.022,APOE Genotype Modulates Proton Magnetic Resonance Spectroscopy Metabolites in the Aging Brain,3,GE,Twinspeed,10,23,13,9,67.07,5.81,CHESS,,PRESS,,0,,2048,128,1600,1,30,1,,0,"Posterior Cingulate, Precuneus",Both,GE,0,GE,,0,0,,,,,,,,20,20,27,10.8,,"All values were estimated from Scatter Plot; Age was broken down under 60 and over 60 to even out the group Ns. However, total subjects and Male/Female breakdown reflects the information provided within the article.",
,X,X,2014_gomar_75,5,No Control,0,Control,APOE3 Ages 50-60,,,10.1016/j.biopsych.2013.05.022,APOE Genotype Modulates Proton Magnetic Resonance Spectroscopy Metabolites in the Aging Brain,3,GE,Twinspeed,21,89,60,28,55.5,2.95,CHESS,,PRESS,,0,,2048,128,1600,1,30,1,,0,"Posterior Cingulate, Precuneus",Both,GE,0,GE,,0,0,,,,,,,,20,20,27,10.8,,"All values were estimated from Scatter Plot; Age was broken down under 60 and over 60 to even out the group Ns. However, total subjects and Male/Female breakdown reflects the information provided within the article.",
,X,X,2014_gomar_75,6,5,0,APOE4,APOE4 Ages 50-60,,,10.1016/j.biopsych.2013.05.022,APOE Genotype Modulates Proton Magnetic Resonance Spectroscopy Metabolites in the Aging Brain,3,GE,Twinspeed,11,23,13,9,54.49,4.02,CHESS,,PRESS,,0,,2048,128,1600,1,30,1,,0,"Posterior Cingulate, Precuneus",Both,GE,0,GE,,0,0,,,,,,,,20,20,27,10.8,,"All values were estimated from Scatter Plot; Age was broken down under 60 and over 60 to even out the group Ns. However, total subjects and Male/Female breakdown reflects the information provided within the article.",
,X,X,2014_gomar_75,7,No Control,0,Control,APOE3 Ages 61-90,,,10.1016/j.biopsych.2013.05.022,APOE Genotype Modulates Proton Magnetic Resonance Spectroscopy Metabolites in the Aging Brain,3,GE,Twinspeed,62,89,60,28,72.7,7.25,CHESS,,PRESS,,0,,2048,128,1600,1,30,1,,0,"Posterior Cingulate, Precuneus",Both,GE,0,GE,,0,0,,,,,,,,20,20,27,10.8,,"All values were estimated from Scatter Plot; Age was broken down under 60 and over 60 to even out the group Ns. However, total subjects and Male/Female breakdown reflects the information provided within the article.",
,X,X,2014_gomar_75,8,7,0,APOE4,APOE4 Ages 61-90,,,10.1016/j.biopsych.2013.05.022,APOE Genotype Modulates Proton Magnetic Resonance Spectroscopy Metabolites in the Aging Brain,3,GE,Twinspeed,11,23,13,9,66.5,5.81,CHESS,,PRESS,,0,,2048,128,1600,1,30,1,,0,"Posterior Cingulate, Precuneus",Both,GE,0,GE,,0,0,,,,,,,,20,20,27,10.8,,"All values were estimated from Scatter Plot; Age was broken down under 60 and over 60 to even out the group Ns. However, total subjects and Male/Female breakdown reflects the information provided within the article.",
,X,X,2014_gomar_75,9,No Control,0,Control,APOE3 Ages 50-60,,,10.1016/j.biopsych.2013.05.022,APOE Genotype Modulates Proton Magnetic Resonance Spectroscopy Metabolites in the Aging Brain,3,GE,Twinspeed,23,89,60,28,54.92,3.24,CHESS,,PRESS,,0,,2048,128,1600,1,30,1,,0,"Posterior Cingulate, Precuneus",Both,GE,0,GE,,0,0,,,,,,,,20,20,27,10.8,,"All values were estimated from Scatter Plot; Age was broken down under 60 and over 60 to even out the group Ns. However, total subjects and Male/Female breakdown reflects the information provided within the article.",
,X,X,2014_gomar_75,10,9,0,APOE4,APOE4 Ages 50-60,,,10.1016/j.biopsych.2013.05.022,APOE Genotype Modulates Proton Magnetic Resonance Spectroscopy Metabolites in the Aging Brain,3,GE,Twinspeed,10,23,13,9,54.98,3.96,CHESS,,PRESS,,0,,2048,128,1600,1,30,1,,0,"Posterior Cingulate, Precuneus",Both,GE,0,GE,,0,0,,,,,,,,20,20,27,10.8,,"All values were estimated from Scatter Plot; Age was broken down under 60 and over 60 to even out the group Ns. However, total subjects and Male/Female breakdown reflects the information provided within the article.",
,X,X,2014_gomar_75,11,No Control,0,Control,APOE3 Ages 61-90,,,10.1016/j.biopsych.2013.05.022,APOE Genotype Modulates Proton Magnetic Resonance Spectroscopy Metabolites in the Aging Brain,3,GE,Twinspeed,58,89,60,28,72.83,7.19,CHESS,,PRESS,,0,,2048,128,1600,1,30,1,,0,"Posterior Cingulate, Precuneus",Both,GE,0,GE,,0,0,,,,,,,,20,20,27,10.8,,"All values were estimated from Scatter Plot; Age was broken down under 60 and over 60 to even out the group Ns. However, total subjects and Male/Female breakdown reflects the information provided within the article.",
,X,X,2014_gomar_75,12,11,0,APOE4,APOE4 Ages 61-90,,,10.1016/j.biopsych.2013.05.022,APOE Genotype Modulates Proton Magnetic Resonance Spectroscopy Metabolites in the Aging Brain,3,GE,Twinspeed,11,23,13,9,66.52,5.78,CHESS,,PRESS,,0,,2048,128,1600,1,30,1,,0,"Posterior Cingulate, Precuneus",Both,GE,0,GE,,0,0,,,,,,,,20,20,27,10.8,,"All values were estimated from Scatter Plot; Age was broken down under 60 and over 60 to even out the group Ns. However, total subjects and Male/Female breakdown reflects the information provided within the article.",
,,X,2015_calderon-garciduenas_45,,,0,,,,,10.3233/JAD-142685,"Decreases in Short Term Memory, IQ, and Altered Brain Metabolic Ratios in Urban Apolipoprotein ε4 Children Exposed to Air Pollution",,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,Can't find supplementary materials,
,X,X,2015_calderon-garciduenas_48,1,No Control,0,Control,USA Parents,,,10.3233/JAD-150415,A Critical Proton MR Spectroscopy Marker of Alzheimer’s Disease Early Neurodegenerative Change: Low Hippocampal NAA/Cr Ratio Impacts APOE E4 Mexico City Children and Their Parents,1.5,GE,Signa Excite,,7,7,0,34.57,6.02,,,PRESS,,0,,,,1500,1,35,1,,0,Hippocampus,Right,,0,,,0,0,,,,,,,,20,20,20,8,,,
,X,X,2015_calderon-garciduenas_48,2,No Control,0,Control,Mexico Parents,,,10.3233/JAD-150415,A Critical Proton MR Spectroscopy Marker of Alzheimer’s Disease Early Neurodegenerative Change: Low Hippocampal NAA/Cr Ratio Impacts APOE E4 Mexico City Children and Their Parents,1.5,GE,Signa Excite,,27,21,6,38.59,7.14,,,PRESS,,0,,,,1500,1,35,1,,0,Hippocampus,Right,,0,,,0,0,,,,,,,,20,20,20,8,,,
,X,X,2015_calderon-garciduenas_48,3,"001, 002",0,APOE4,Mexico Parents,,,10.3233/JAD-150415,A Critical Proton MR Spectroscopy Marker of Alzheimer’s Disease Early Neurodegenerative Change: Low Hippocampal NAA/Cr Ratio Impacts APOE E4 Mexico City Children and Their Parents,1.5,GE,Signa Excite,,14,9,5,39.36,7.19,,,PRESS,,0,,,,1500,1,35,1,,0,Hippocampus,Right,,0,,,0,0,,,,,,,,20,20,20,8,,,
,X,X,2015_calderon-garciduenas_48,4,No Control,0,Control,USA Parents,,,10.3233/JAD-150415,A Critical Proton MR Spectroscopy Marker of Alzheimer’s Disease Early Neurodegenerative Change: Low Hippocampal NAA/Cr Ratio Impacts APOE E4 Mexico City Children and Their Parents,1.5,GE,Signa Excite,,7,7,0,34.57,6.02,,,PRESS,,0,,,,1500,1,35,1,,0,Hippocampus,Left,,0,,,0,0,,,,,,,,20,20,20,8,,,
,X,X,2015_calderon-garciduenas_48,5,No Control,0,Control,Mexico Parents,,,10.3233/JAD-150415,A Critical Proton MR Spectroscopy Marker of Alzheimer’s Disease Early Neurodegenerative Change: Low Hippocampal NAA/Cr Ratio Impacts APOE E4 Mexico City Children and Their Parents,1.5,GE,Signa Excite,,27,21,6,38.59,7.14,,,PRESS,,0,,,,1500,1,35,1,,0,Hippocampus,Left,,0,,,0,0,,,,,,,,20,20,20,8,,,
,X,X,2015_calderon-garciduenas_48,6,"004, 005",0,APOE4,Mexico Parents,,,10.3233/JAD-150415,A Critical Proton MR Spectroscopy Marker of Alzheimer’s Disease Early Neurodegenerative Change: Low Hippocampal NAA/Cr Ratio Impacts APOE E4 Mexico City Children and Their Parents,1.5,GE,Signa Excite,,14,9,5,39.36,7.19,,,PRESS,,0,,,,1500,1,35,1,,0,Hippocampus,Left,,0,,,0,0,,,,,,,,20,20,20,8,,,
,X,X,2015_calderon-garciduenas_48,7,No Control,0,Control,USA Children,,,10.3233/JAD-150415,A Critical Proton MR Spectroscopy Marker of Alzheimer’s Disease Early Neurodegenerative Change: Low Hippocampal NAA/Cr Ratio Impacts APOE E4 Mexico City Children and Their Parents,1.5,GE,Signa Excite,,9,5,4,9.77,0.83,,,PRESS,,0,,,,1500,1,35,1,,0,Hippocampus,Right,,0,,,0,0,,,,,,,,20,20,20,8,,,
,X,X,2015_calderon-garciduenas_48,8,No Control,0,Control,Mexico Children,,,10.3233/JAD-150415,A Critical Proton MR Spectroscopy Marker of Alzheimer’s Disease Early Neurodegenerative Change: Low Hippocampal NAA/Cr Ratio Impacts APOE E4 Mexico City Children and Their Parents,1.5,GE,Signa Excite,,27,15,12,13.96,4.57,,,PRESS,,0,,,,1500,1,35,1,,0,Hippocampus,Right,,0,,,0,0,,,,,,,,20,20,20,8,,,
,X,X,2015_calderon-garciduenas_48,9,"007, 008",0,APOE4,Mexico Children,,,10.3233/JAD-150415,A Critical Proton MR Spectroscopy Marker of Alzheimer’s Disease Early Neurodegenerative Change: Low Hippocampal NAA/Cr Ratio Impacts APOE E4 Mexico City Children and Their Parents,1.5,GE,Signa Excite,,21,11,10,13.57,4.4,,,PRESS,,0,,,,1500,1,35,1,,0,Hippocampus,Right,,0,,,0,0,,,,,,,,20,20,20,8,,,
,X,X,2015_calderon-garciduenas_48,10,No Control,0,Control,USA Children,,,10.3233/JAD-150415,A Critical Proton MR Spectroscopy Marker of Alzheimer’s Disease Early Neurodegenerative Change: Low Hippocampal NAA/Cr Ratio Impacts APOE E4 Mexico City Children and Their Parents,1.5,GE,Signa Excite,,9,5,4,9.77,0.83,,,PRESS,,0,,,,1500,1,35,1,,0,Hippocampus,Left,,0,,,0,0,,,,,,,,20,20,20,8,,,
,X,X,2015_calderon-garciduenas_48,11,No Control,0,Control,Mexico Children,,,10.3233/JAD-150415,A Critical Proton MR Spectroscopy Marker of Alzheimer’s Disease Early Neurodegenerative Change: Low Hippocampal NAA/Cr Ratio Impacts APOE E4 Mexico City Children and Their Parents,1.5,GE,Signa Excite,,27,15,12,13.96,4.57,,,PRESS,,0,,,,1500,1,35,1,,0,Hippocampus,Left,,0,,,0,0,,,,,,,,20,20,20,8,,,
,X,X,2015_calderon-garciduenas_48,12,"010, 011",0,APOE4,Mexico Children,,,10.3233/JAD-150415,A Critical Proton MR Spectroscopy Marker of Alzheimer’s Disease Early Neurodegenerative Change: Low Hippocampal NAA/Cr Ratio Impacts APOE E4 Mexico City Children and Their Parents,1.5,GE,Signa Excite,,21,11,10,13.57,4.4,,,PRESS,,0,,,,1500,1,35,1,,0,Hippocampus,Left,,0,,,0,0,,,,,,,,20,20,20,8,,,
,X,X,2015_snoussi_74,1,No Control,0,Healthy,,,,10.1002/mrm.25468,Comparison of Brain Gray and White MatterMacromolecule Resonances at 3 and 7 Tesla,3,Philips,Achieva,5,20,11,9,33,4,WET,,semi-LASER,,1,,,512,1559,1,31,1,400- 1000,0,Anterior Cingulate,Both,In-House,1,In-House,SPM,1,,,60.2,4.5,30.4,3.8,9.4,2.3,20,25,25,12.5,,,
,X,X,2015_snoussi_74,2,No Control,0,Healthy,,,,10.1002/mrm.25468,Comparison of Brain Gray and White MatterMacromolecule Resonances at 3 and 7 Tesla,3,Philips,Achieva,5,20,11,9,33,4,WET,,semi-LASER,,1,,,512,1559,1,31,1,400- 1000,0,Centrum Semiovale,Left,In-House,1,In-House,SPM,1,,,19.8,2.5,77.8,2.4,2.4,1.1,25,25,25,15.625,,,
,X,X,2015_snoussi_74,3,No Control,0,Healthy,,,,10.1002/mrm.25468,Comparison of Brain Gray and White MatterMacromolecule Resonances at 3 and 7 Tesla,7,Philips,Achieva,5,20,11,9,33,4,WET,,semi-LASER,,1,,,256,3000,1,31,1,700- 1000,0,Anterior Cingulate,Both,In-House,1,In-House,SPM,1,,,62.2,3.9,29.2,3.8,8.6,2.1,20,25,25,12.5,,,
,X,X,2015_snoussi_74,4,No Control,0,Healthy,,,,10.1002/mrm.25468,Comparison of Brain Gray and White MatterMacromolecule Resonances at 3 and 7 Tesla,7,Philips,Achieva,5,20,11,9,33,4,WET,,semi-LASER,,1,,,256,3000,1,31,1,700- 1000,0,Centrum Semiovale,Left,In-House,1,In-House,SPM,1,,,22.8,3.6,73.4,4.2,3.8,0.9,25,25,25,15.625,,,
,X,X,2015_glodzik_43,1,No Control,0,Control,Whole brain concentration,,,10.3233/JAD-140609,"Global N-Acetylaspartate in Normal Subjects, Mild Cognitive Impairment and Alzheimer Patients",3,Siemens,Magnetom Allegra,86,102,38,64,72.4,8.3,,,,,1,,,,100000,1,0,1,940,0,Whole brain,Both,In-House,0,In-house,In-house,1,0,,,,,,,,,,,0,oded.gonen@med.nyu.edu,,
,X,X,2015_glodzik_43,2,1,0,MCI,Whole brain concentration,,,10.3233/JAD-140609,"Global N-Acetylaspartate in Normal Subjects, Mild Cognitive Impairment and Alzheimer Patients",3,Siemens,Magnetom Allegra,37,42,18,24,70.8,7.8,,,,,1,,,,100000,1,0,1,940,0,Whole brain,Both,In-House,0,In-house,In-house,1,0,,,,,,,,,,,0,oded.gonen@med.nyu.edu,,
,X,X,2015_glodzik_43,3,1,0,Dementia,Alzheimer's - Whole brain concentration,,,10.3233/JAD-140609,"Global N-Acetylaspartate in Normal Subjects, Mild Cognitive Impairment and Alzheimer Patients",3,Siemens,Magnetom Allegra,46,53,30,23,74.9,8.6,,,,,1,,,,100000,1,0,1,940,0,Whole brain,Both,In-House,0,In-house,In-house,1,0,,,,,,,,,,,0,oded.gonen@med.nyu.edu,,
,X,X,2015_glodzik_43,4,No Control,0,Control,Whole head concentration,,,10.3233/JAD-140609,"Global N-Acetylaspartate in Normal Subjects, Mild Cognitive Impairment and Alzheimer Patients",3,Siemens,Magnetom Allegra,86,102,38,64,72.4,8.3,,,,,1,,,,100000,1,0,1,940,0,Whole head,Both,In-House,0,In-house,In-house,1,0,,,,,,,,,,,0,oded.gonen@med.nyu.edu,,
,X,X,2015_glodzik_43,5,4,0,MCI,Whole head concentration,,,10.3233/JAD-140609,"Global N-Acetylaspartate in Normal Subjects, Mild Cognitive Impairment and Alzheimer Patients",3,Siemens,Magnetom Allegra,37,42,18,24,70.8,7.8,,,,,1,,,,100000,1,0,1,940,0,Whole head,Both,In-House,0,In-house,In-house,1,0,,,,,,,,,,,0,oded.gonen@med.nyu.edu,,
,X,X,2015_glodzik_43,6,4,0,Dementia,Alzheimer's - Whole head concentration,,,10.3233/JAD-140609,"Global N-Acetylaspartate in Normal Subjects, Mild Cognitive Impairment and Alzheimer Patients",3,Siemens,Magnetom Allegra,46,53,30,23,74.9,8.6,,,,,1,,,,100000,1,0,1,940,0,Whole head,Both,In-House,0,In-house,In-house,1,0,,,,,,,,,,,0,oded.gonen@med.nyu.edu,,
,X,X,2015_guo_15,1,No Control,0,Dementia,Alzheimer's - Depressed,,,10.1186/s12888-015-0691-7,Neurometabolic characteristics in the anterior cingulate gyrus of Alzheimer’s disease patients with depression: a 1H magnetic resonance spectroscopy study,3,Siemens,Magnetom Verio,,17,9,8,72.9,5.5,,,,PRESS-CSI,0,,,4,1500,1,30,1,,0,Anterior cingulate gyrus,Left,Syngo,0,Syngo,,0,0,,,,,,,,10,10,15,1.5,srrcw@zju.edu.cn,,
,X,X,2015_guo_15,2,No Control,0,Dementia,Alzheimer's - Depressed,,,10.1186/s12888-015-0691-7,Neurometabolic characteristics in the anterior cingulate gyrus of Alzheimer’s disease patients with depression: a 1H magnetic resonance spectroscopy study,3,Siemens,Magnetom Verio,,17,9,8,72.9,5.5,,,,PRESS-CSI,0,,,5,1501,2,31,2,,0,Anterior cingulate gyrus,Right,Syngo,0,Syngo,,0,0,,,,,,,,10,10,15,1.5,srrcw@zju.edu.cn,,
,X,X,2015_guo_15,3,No Control,0,Dementia,Alzheimer's - Non-depressed,,,10.1186/s12888-015-0691-7,Neurometabolic characteristics in the anterior cingulate gyrus of Alzheimer’s disease patients with depression: a 1H magnetic resonance spectroscopy study,3,Siemens,Magnetom Verio,,20,11,9,74.7,6.3,,,,PRESS-CSI,0,,,6,1502,3,32,3,,0,Anterior cingulate gyrus,Left,Syngo,0,Syngo,,0,0,,,,,,,,10,10,15,1.5,srrcw@zju.edu.cn,,
,X,X,2015_guo_15,4,No Control,0,Dementia,Alzheimer's - Non-depressed ,,,10.1186/s12888-015-0691-7,Neurometabolic characteristics in the anterior cingulate gyrus of Alzheimer’s disease patients with depression: a 1H magnetic resonance spectroscopy study,3,Siemens,Magnetom Verio,,20,11,9,74.7,6.3,,,,PRESS-CSI,0,,,7,1503,4,33,4,,0,Anterior cingulate gyrus,Right,Syngo,0,Syngo,,0,0,,,,,,,,10,10,15,1.5,srrcw@zju.edu.cn,,
,X,X,2015_seraji-bozorgzad_30,1,3,0,Parkinson's,Dopaminergic intervention naïve,Baseline,,10.1002/mds.26323,Longitudinal study of the substantia nigra in Parkinson disease: A high-field (1) H-MR spectroscopy imaging study,3,Siemens,Verio,,23,9,14,66,9.8,Presaturation square pulse,,,,0,,,8,1500,1,135,1,,0,Substantia Nigra,Both,LCModel,0,LCModel,,0,0,,,,,,,,10,10,20,2,okhan@med.wayne.edu,,
,X,X,2015_seraji-bozorgzad_30,2,4,0,Parkinson's,Dopaminergic intervention naïve,3 Months,,10.1002/mds.26323,Longitudinal study of the substantia nigra in Parkinson disease: A high-field (1) H-MR spectroscopy imaging study,3,Siemens,Verio,22,23,9,14,66,9.8,Presaturation square pulse,,,,0,,,8,1500,1,135,1,,0,Substantia Nigra,Both,LCModel,0,LCModel,,0,0,,,,,,,,10,10,20,2,okhan@med.wayne.edu,,
,X,X,2015_seraji-bozorgzad_30,3,No Control,0,Control,,Baseline,,10.1002/mds.26323,Longitudinal study of the substantia nigra in Parkinson disease: A high-field (1) H-MR spectroscopy imaging study,3,Siemens,Verio,,6,5,1,63,4.08,Presaturation square pulse,,,,0,,,8,1500,1,135,1,,0,Substantia Nigra,Both,LCModel,0,LCModel,,0,0,,,,,,,,10,10,20,2,okhan@med.wayne.edu,,
,X,X,2015_seraji-bozorgzad_30,4,No Control,0,Control,,3 Months,,10.1002/mds.26323,Longitudinal study of the substantia nigra in Parkinson disease: A high-field (1) H-MR spectroscopy imaging study,3,Siemens,Verio,,6,5,1,63,4.08,Presaturation square pulse,,,,0,,,8,1500,1,135,1,,0,Substantia Nigra,Both,LCModel,0,LCModel,,0,0,,,,,,,,10,10,20,2,okhan@med.wayne.edu,,
