Completed,Download,Reference,ID,Group,Add_Description,Breed,Old_Name,Old_ID,DOI,Title,Tesla,Scanner,Model,Acq_Type,Subject,N_Exclusions,N_Total,Female,Male,Age,Age_Std,Age_Unit,Water_Supp,Lipid_Supp,Metab-Modifier,TI,N_TI,T2_Filter,Localization,Multi-Scan_Method,Water_Reference,Bandwidth (Hz),Vector-Size,N_Averages,TR,N_TR,TE,N_TE,Processing,Fit,T1_Corrected,Fit_Type,Segmentation,Region,Tissue,GM,GM_Std,WM,WM_Std,CSF,CSF_Std,Voxel_X,Voxel_Y,Voxel_Z,Volume,Notes,Contact,Emailed,PerCom,Volume
1,X,2014_branzoli_27,2,Healthy,044ms_0285,,,,10.1002/nbm.3085,The interaction between apparent diffusion coefficients and transverse relaxation rates of human brain metabolites and water studied by diffusion-weighted spectroscopy at 7 T,7,Philips,Achieva,In Vivo,Human,16,16,7,9,29,9,Years,WET,,,,,0,STEAM,,,3000,1024,,3000,1,"63,90,160",3,Custom,LCModel,,Stretched-Exponential,,Parietal,WM,,,,,,,30,20,19,11.4,,,,,27
1,X,2014_branzoli_27,3,Healthy,044ms_1140,,,,10.1002/nbm.3085,The interaction between apparent diffusion coefficients and transverse relaxation rates of human brain metabolites and water studied by diffusion-weighted spectroscopy at 7 T,7,Philips,Achieva,In Vivo,Human,16,16,7,9,29,9,Years,WET,,,,,0,STEAM,,,3000,1024,,3000,1,"63,90,160",3,Custom,LCModel,,Stretched-Exponential,,Parietal,WM,,,,,,,30,20,19,11.4,,,,,27
1,X,2014_branzoli_27,4,Healthy,044ms_2570,,,,10.1002/nbm.3085,The interaction between apparent diffusion coefficients and transverse relaxation rates of human brain metabolites and water studied by diffusion-weighted spectroscopy at 7 T,7,Philips,Achieva,In Vivo,Human,16,16,7,9,29,9,Years,WET,,,,,0,STEAM,,,3000,1024,,3000,1,"63,90,160",3,Custom,LCModel,,Stretched-Exponential,,Parietal,WM,,,,,,,30,20,19,11.4,,,,,27
1,X,2014_branzoli_27,5,Healthy,044ms_4575,,,,10.1002/nbm.3085,The interaction between apparent diffusion coefficients and transverse relaxation rates of human brain metabolites and water studied by diffusion-weighted spectroscopy at 7 T,7,Philips,Achieva,In Vivo,Human,16,16,7,9,29,9,Years,WET,,,,,0,STEAM,,,3000,1024,,3000,1,"63,90,160",3,Custom,LCModel,,Stretched-Exponential,,Parietal,WM,,,,,,,30,20,19,11.4,,,,,27
1,X,2014_branzoli_27,6,Healthy,246ms_0000,,,,10.1002/nbm.3085,The interaction between apparent diffusion coefficients and transverse relaxation rates of human brain metabolites and water studied by diffusion-weighted spectroscopy at 7 T,7,Philips,Achieva,In Vivo,Human,16,16,7,9,29,9,Years,WET,,,,,0,STEAM,,,3000,1024,,3000,1,"63,90,160",3,Custom,LCModel,,Stretched-Exponential,,Parietal,WM,,,,,,,30,20,19,11.4,,,,,27
1,X,2014_branzoli_27,7,Healthy,246ms_0285,,,,10.1002/nbm.3085,The interaction between apparent diffusion coefficients and transverse relaxation rates of human brain metabolites and water studied by diffusion-weighted spectroscopy at 7 T,7,Philips,Achieva,In Vivo,Human,16,16,7,9,29,9,Years,WET,,,,,0,STEAM,,,3000,1024,,3000,1,"63,90,160",3,Custom,LCModel,,Stretched-Exponential,,Parietal,WM,,,,,,,30,20,19,11.4,,,,,27
1,X,2014_branzoli_27,8,Healthy,246ms_1140,,,,10.1002/nbm.3085,The interaction between apparent diffusion coefficients and transverse relaxation rates of human brain metabolites and water studied by diffusion-weighted spectroscopy at 7 T,7,Philips,Achieva,In Vivo,Human,16,16,7,9,29,9,Years,WET,,,,,0,STEAM,,,3000,1024,,3000,1,"63,90,160",3,Custom,LCModel,,Stretched-Exponential,,Parietal,WM,,,,,,,30,20,19,11.4,,,,,27
1,X,2014_branzoli_27,9,Healthy,246ms_2570,,,,10.1002/nbm.3085,The interaction between apparent diffusion coefficients and transverse relaxation rates of human brain metabolites and water studied by diffusion-weighted spectroscopy at 7 T,7,Philips,Achieva,In Vivo,Human,16,16,7,9,29,9,Years,WET,,,,,0,STEAM,,,3000,1024,,3000,1,"63,90,160",3,Custom,LCModel,,Stretched-Exponential,,Parietal,WM,,,,,,,30,20,19,11.4,,,,,27
1,X,2014_branzoli_27,10,Healthy,246ms_4575,,,,10.1002/nbm.3085,The interaction between apparent diffusion coefficients and transverse relaxation rates of human brain metabolites and water studied by diffusion-weighted spectroscopy at 7 T,7,Philips,Achieva,In Vivo,Human,16,16,7,9,29,9,Years,WET,,,,,0,STEAM,,,3000,1024,,3000,1,"63,90,160",3,Custom,LCModel,,Stretched-Exponential,,Parietal,WM,,,,,,,30,20,19,11.4,,,,,27
1,X,2005_brief_18,1,Healthy,,,"Brief et al., 2005",A,10.1002/nbm.916,Proton T2 relaxation of cerebral metabolites of normal human brain over large TE range,1.5,GE,,In Vivo,Human,,10,6,4,28,9,Years,,,,,,0,PRESS,,,2500,2048,8,2000,1,"30,60,100,150,200,400,600,800",8,LCModel,LCModel,1,Monoexponential,,Occipital,GM,78,10,,,,,19.3,19.3,20,7.4498,,,,,18
1,X,2005_brief_18,2,Healthy,,,"Brief et al., 2005",B,10.1002/nbm.916,Proton T2 relaxation of cerebral metabolites of normal human brain over large TE range,1.5,GE,,In Vivo,Human,,10,4,6,31,13,Years,,,,,,0,PRESS,,,2500,2048,8,2000,1,"30,60,100,150,200,400,600,800",8,LCModel,LCModel,1,Monoexponential,,Posterior Frontal,WM,,,96,2,,,19.3,19.3,20,7.4498,,,,,18
1,X,2001_brooks_11,1,Healthy,,,,,10.1093/cercor/11.7.598,A proton magnetic resonance spectroscopy study of age-related changes in frontal lobe metabolite concentrations,1.5,GE,SIGNA,In Vivo,Human,,50,0,50,45.5,,Years,,,,,,0,STEAM,,1,,,96,2971.3,1,"72,144,216,288",4,JMRUI,VARPRO,,Monoexponential,SPM,Corpus Callosum Medial Frontal,Unknown,,,,,,,20,20,20,8,,,,,
1,X,1994_cady_2,1,Control,,,,,10.1007/bf01705293,Large increases in h-1 metabolite t-2's after cerebral hypoxia-ischemia,7,Bruker,Biospec,In Vivo,Pig,6,6,,,,,,,,,,,0,Spin Echo,,,,,5,1000,1,"132,270,540",3,In-House,In-House,,Monoexponential,,,Unknown,,,,,,,,,,0,Same as 1994_cady_182 ,,,,2
1,X,1994_cady_2,2,Ischemia,,,,,10.1007/bf01705293,Large increases in h-1 metabolite t-2's after cerebral hypoxia-ischemia,7,Bruker,Biospec,In Vivo,Pig,6,6,,,,,,,,,,,0,Spin Echo,,,,,5,1000,1,"132,270,540",3,In-House,In-House,,Monoexponential,,,Unknown,,,,,,,,,,0,Same as 1994_cady_182 ,,,,
1,X,1994_cady_182,1,Control,Before,,,,10.1016/0304-3940(94)90797-8,Brain-metabolite transverse relaxation times in magnetic resonance spectroscopy increase as adenosine triphosphate depletes during secondary energy failure following acute hypoxia-ischaemia in the newborn piglet,7,Bruker,Biospec,In Vivo,Pig,6,6,,,,,,,,,,,0,Spin Echo,,,,,5,1000,1,"132,270,540",3,In-House,In-House,,Monoexponential,,,Unknown,,,,,,,,,,0,,,,,182
1,X,1994_cady_182,2,Ischemia,Immediate,,,,10.1016/0304-3940(94)90797-8,Brain-metabolite transverse relaxation times in magnetic resonance spectroscopy increase as adenosine triphosphate depletes during secondary energy failure following acute hypoxia-ischaemia in the newborn piglet,7,Bruker,Biospec,In Vivo,Pig,6,6,,,,,,,,,,,0,Spin Echo,,,,,5,1000,1,"132,270,540",3,In-House,In-House,,Monoexponential,,,Unknown,,,,,,,,,,0,,,,,182
1,X,1994_cady_182,3,Ischemia,1-Hour,,,,10.1016/0304-3940(94)90797-8,Brain-metabolite transverse relaxation times in magnetic resonance spectroscopy increase as adenosine triphosphate depletes during secondary energy failure following acute hypoxia-ischaemia in the newborn piglet,7,Bruker,Biospec,In Vivo,Pig,6,6,,,,,,,,,,,0,Spin Echo,,,,,5,1000,1,"132,270,540",3,In-House,In-House,,Monoexponential,,,Unknown,,,,,,,,,,0,,,,,182
1,X,1996_cady_21,1,Control,,,,,10.1007/bf02532414,Metabolite Concentrations and Relaxation in Perinatal Cerebral Hypoxic-Ischemic Injury,2.4,Bruker,Biospec,In Vivo,Human,,13,,,10.7,,Days,CHESS,,,,,0,PRESS,,1,,,,1730,1,"135,270,540",3,In-House,In-House,,Monoexponential,In-House,Thalamus,Unknown,,,,,,,20,20,20,8,,,,,21
1,X,1996_cady_21,2,Ischemia,Minor,,,,10.1007/bf02532414,Metabolite Concentrations and Relaxation in Perinatal Cerebral Hypoxic-Ischemic Injury,2.4,Bruker,Biospec,In Vivo,Human,,4,,,1.3,,Days,CHESS,,,,,0,PRESS,,1,,,,1730,1,"135,270,540",3,In-House,In-House,,Monoexponential,In-House,Thalamus,Unknown,,,,,,,20,20,20,8,,,,,21
1,X,1996_cady_21,3,Ischemia,Severe,,,,10.1007/bf02532414,Metabolite Concentrations and Relaxation in Perinatal Cerebral Hypoxic-Ischemic Injury,2.4,Bruker,Biospec,In Vivo,Human,,10,,,3.6,,Days,CHESS,,,,,0,PRESS,,1,,,,1730,1,"135,270,540",3,In-House,In-House,,Monoexponential,In-House,Thalamus,Unknown,,,,,,,20,20,20,8,,,,,21
1,X,1996_cady_36,1,Healthy,Infant,,,,10.1002/mrm.1910360610,"Lactate, N-acetylaspartate, Choline and Creatine Concentrations, and Spin-Spin Relaxation in Thalamic and Occipito-Parietal Regions of Developing Human Brain",2.4,Bruker,Biospec,In Vivo,Human,,19,,,8.5,,Days,CHESS,,,,,0,PRESS,,1,,,128-256,1730,1,"135,270,540",3,In-House,In-House,,Monoexponential,In-House,Thalamus,Unknown,,,,,,,20,20,20,8,,,,,36
1,X,1996_cady_36,2,Healthy,Infant,,,,10.1002/mrm.1910360610,"Lactate, N-acetylaspartate, Choline and Creatine Concentrations, and Spin-Spin Relaxation in Thalamic and Occipito-Parietal Regions of Developing Human Brain",2.4,Bruker,Biospec,In Vivo,Human,,18,,,8.5,,Days,CHESS,,,,,0,PRESS,,1,,,128-256,1730,1,"135,270,540",3,In-House,In-House,,Monoexponential,In-House,Thalamus,Unknown,,,,,,,20,20,20,8,,,,,36
1,X,1996_cady_36,3,Healthy,Infant,,,,10.1002/mrm.1910360610,"Lactate, N-acetylaspartate, Choline and Creatine Concentrations, and Spin-Spin Relaxation in Thalamic and Occipito-Parietal Regions of Developing Human Brain",2.4,Bruker,Biospec,In Vivo,Human,,12,,,10.6,,Days,CHESS,,,,,0,PRESS,,1,,,256,1730,1,"135,270,540",3,In-House,In-House,,Monoexponential,In-House,Occipito-Parietal,Unknown,,,,,,,20,20,20,8,,,,,36
1,X,1996_cady_36,4,Healthy,Infant,,,,10.1002/mrm.1910360610,"Lactate, N-acetylaspartate, Choline and Creatine Concentrations, and Spin-Spin Relaxation in Thalamic and Occipito-Parietal Regions of Developing Human Brain",2.4,Bruker,Biospec,In Vivo,Human,,11,,,10.6,,Days,CHESS,,,,,0,PRESS,,1,,,256,1730,1,"135,270,540",3,In-House,In-House,,Monoexponential,In-House,Occipito-Parietal,Unknown,,,,,,,20,20,20,8,,,,,36
1,X,2019_carlin_49,1,Cancer,Pilocytic Astrocytomas,,,,10.1002/jmri.26054,Variation of T2 Relaxation Times in Pediatric Brain Tumors and Their Effect on Metabolite Quantification,1.5,Siemens,Symphony NUM4,In Vivo,Human,,11,,,,,,,,,,,0,PRESS,,1,,,128,1500,1,"30,135",2,TARQUIN,TARQUIN,,Monoexponential,,Tumor,Unknown,,,,,,,15-20,15-20,15-20,3.375-8,,,,,49
1,X,2019_carlin_49,2,Cancer,Pilocytic Astrocytomas,,,,10.1002/jmri.26054,Variation of T2 Relaxation Times in Pediatric Brain Tumors and Their Effect on Metabolite Quantification,1.5,Siemens,Symphony NUM4,In Vivo,Human,,10,,,,,,,,,,,0,PRESS,,1,,,128,1500,1,"30,135",2,TARQUIN,TARQUIN,,Monoexponential,,Tumor,Unknown,,,,,,,15-20,15-20,15-20,3.375-8,,,,,49
1,X,2019_carlin_49,3,Cancer,Pilocytic Astrocytomas,,,,10.1002/jmri.26054,Variation of T2 Relaxation Times in Pediatric Brain Tumors and Their Effect on Metabolite Quantification,1.5,Siemens,Symphony NUM4,In Vivo,Human,,8,,,,,,,,,,,0,PRESS,,1,,,128,1500,1,"30,135",2,TARQUIN,TARQUIN,,Monoexponential,,Tumor,Unknown,,,,,,,15-20,15-20,15-20,3.375-8,,,,,49
1,X,2019_carlin_49,4,Cancer,Medulloblastomas,,,,10.1002/jmri.26054,Variation of T2 Relaxation Times in Pediatric Brain Tumors and Their Effect on Metabolite Quantification,1.5,Siemens,Symphony NUM4,In Vivo,Human,,10,,,,,,,,,,,0,PRESS,,1,,,128,1500,1,"30,135",2,TARQUIN,TARQUIN,,Monoexponential,,Tumor,Unknown,,,,,,,15-20,15-20,15-20,3.375-8,,,,,49
1,X,2019_carlin_49,5,Cancer,Medulloblastomas,,,,10.1002/jmri.26054,Variation of T2 Relaxation Times in Pediatric Brain Tumors and Their Effect on Metabolite Quantification,1.5,Siemens,Symphony NUM4,In Vivo,Human,,9,,,,,,,,,,,0,PRESS,,1,,,128,1500,1,"30,135",2,TARQUIN,TARQUIN,,Monoexponential,,Tumor,Unknown,,,,,,,15-20,15-20,15-20,3.375-8,,,,,49
1,X,2019_carlin_49,6,Cancer,Medulloblastomas,,,,10.1002/jmri.26054,Variation of T2 Relaxation Times in Pediatric Brain Tumors and Their Effect on Metabolite Quantification,1.5,Siemens,Symphony NUM4,In Vivo,Human,,5,,,,,,,,,,,0,PRESS,,1,,,128,1500,1,"30,135",2,TARQUIN,TARQUIN,,Monoexponential,,Tumor,Unknown,,,,,,,15-20,15-20,15-20,3.375-8,,,,,49
1,X,2019_carlin_49,7,Cancer,Basal Ganglia,,,,10.1002/jmri.26054,Variation of T2 Relaxation Times in Pediatric Brain Tumors and Their Effect on Metabolite Quantification,1.5,Siemens,Symphony NUM4,In Vivo,Human,,16,,,,,,,,,,,0,PRESS,,1,,,128,1500,1,"30,135",2,TARQUIN,TARQUIN,,Monoexponential,,Tumor,Unknown,,,,,,,15-20,15-20,15-20,3.375-8,,,,,49
1,X,2019_carlin_49,8,Cancer,Basal Ganglia,,,,10.1002/jmri.26054,Variation of T2 Relaxation Times in Pediatric Brain Tumors and Their Effect on Metabolite Quantification,1.5,Siemens,Symphony NUM4,In Vivo,Human,,14,,,,,,,,,,,0,PRESS,,1,,,128,1500,1,"30,135",2,TARQUIN,TARQUIN,,Monoexponential,,Tumor,Unknown,,,,,,,15-20,15-20,15-20,3.375-8,,,,,49
1,X,2019_carlin_49,9,Cancer,White Matter,,,,10.1002/jmri.26054,Variation of T2 Relaxation Times in Pediatric Brain Tumors and Their Effect on Metabolite Quantification,1.5,Siemens,Symphony NUM4,In Vivo,Human,,15,,,,,,,,,,,0,PRESS,,1,,,128,1500,1,"30,135",2,TARQUIN,TARQUIN,,Monoexponential,,Tumor,Unknown,,,,,,,15-20,15-20,15-20,3.375-8,,,,,49
1,X,2019_carlin_49,10,Cancer,White Matter,,,,10.1002/jmri.26054,Variation of T2 Relaxation Times in Pediatric Brain Tumors and Their Effect on Metabolite Quantification,1.5,Siemens,Symphony NUM4,In Vivo,Human,,14,,,,,,,,,,,0,PRESS,,1,,,128,1500,1,"30,135",2,TARQUIN,TARQUIN,,Monoexponential,,Tumor,Unknown,,,,,,,15-20,15-20,15-20,3.375-8,,,,,49
1,X,2019_carlin_49,11,Cancer,White Matter,,,,10.1002/jmri.26054,Variation of T2 Relaxation Times in Pediatric Brain Tumors and Their Effect on Metabolite Quantification,1.5,Siemens,Symphony NUM4,In Vivo,Human,,10,,,,,,,,,,,0,PRESS,,1,,,128,1500,1,"30,135",2,TARQUIN,TARQUIN,,Monoexponential,,Tumor,Unknown,,,,,,,15-20,15-20,15-20,3.375-8,,,,,49
1,X,2008_chassain_105,1,Control,,C57Bl/6J,"Chassain et al., 2008",B,10.1111/j.1471-4159.2007.05185.x,"Metabolic changes detected by proton magnetic resonance spectroscopy in vivo and in vitro in a murin model of Parkinson's disease, the MPTP-intoxicated mouse",9.4,Bruker,,In Vivo,Mouse,,4,,,,,,Custom,,,,,0,PRESS,,1,5000,,128,4000,1,"8.8,20,30,40,60,80,100,130,180,250",10,QUEST,JMRUI,,,,Striatum,Unknown,,,,,,,2,2,2,0.008,Seems like fastest moeity was used for Cre and NAA,,,,105
1,X,2008_chassain_105,2,Parkinsons,,C57Bl/6J,"Chassain et al., 2008",E,10.1111/j.1471-4159.2007.05185.x,"Metabolic changes detected by proton magnetic resonance spectroscopy in vivo and in vitro in a murin model of Parkinson's disease, the MPTP-intoxicated mouse",9.4,Bruker,,In Vivo,Mouse,,7,,,,,,Custom,,,,,0,PRESS,,1,5000,,128,4000,1,"8.8,20,30,40,60,80,100,130,180,250",10,QUEST,JMRUI,,,,Striatum,Unknown,,,,,,,2,2,2,0.008,Clinical Model (MPTP),,,,105
1,X,2017_chen,1,Healthy,,,,,,The use of MEGA-sLASER with J-refocusing echo time extension to measure the proton T2 of lactate in healthy human brain at 7 T,7,Philips,Achieva,In Vivo,Human,,6,,,23- 40,,Years,,,,,,0,semi-LASER,MEGA,,,,60,5000,1,"144,176,192,208,224,000,000,000",9,LCModel,LCModel,,Monoexponential,,Occipital,Unknown,,,,,,,25,40,30,30,"Did not list StdDev or SEM for T2 measures, but mentioned using SEM in a later figure. Assumed SEM.",,,,
1,X,2022_chen,1,Control,Baseline,,,,10.1093/schbul/sbab149,White Matter Metabolite Relaxation and Diffusion Abnormalities in First-Episode Psychosis: A Longitudinal Study,4,Varian,,In Vivo,Human,,9,3,6,23,2.9,Years,VAPOR,,,,,0,PRESS,,1,,,48,3000,1,"30,90,120,200",4,FID-A,LCModel,,Monoexponential,SPM,Corona Radiata,WM,,,,,,,10,10,30,3,,,,,
1,X,2022_chen,2,Bipolar,Baseline,,,,10.1093/schbul/sbab149,White Matter Metabolite Relaxation and Diffusion Abnormalities in First-Episode Psychosis: A Longitudinal Study,4,Varian,,In Vivo,Human,16,25,6,19,22.4,2.6,Years,VAPOR,,,,,0,PRESS,,1,,,48,3000,1,"30,90,120,200",4,FID-A,LCModel,,Monoexponential,SPM,Corona Radiata,WM,,,,,,,10,10,30,3,,,,,
1,X,2022_chen,3,Schizophrenia,Baseline,,,,10.1093/schbul/sbab149,White Matter Metabolite Relaxation and Diffusion Abnormalities in First-Episode Psychosis: A Longitudinal Study,4,Varian,,In Vivo,Human,9,25,6,19,22.4,2.6,Years,VAPOR,,,,,0,PRESS,,1,,,48,3000,1,"30,90,120,200",4,FID-A,LCModel,,Monoexponential,SPM,Corona Radiata,WM,,,,,,,10,10,30,3,,,,,
1,X,2022_chen,4,Bipolar,1 Year,,,,10.1093/schbul/sbab149,White Matter Metabolite Relaxation and Diffusion Abnormalities in First-Episode Psychosis: A Longitudinal Study,4,Varian,,In Vivo,Human,16,25,6,19,22.4,2.6,Years,VAPOR,,,,,0,PRESS,,1,,,48,3000,1,"30,90,120,200",4,FID-A,LCModel,,Monoexponential,SPM,Corona Radiata,WM,,,,,,,10,10,30,3,,,,,
1,X,2022_chen,5,Schizophrenia,1 Year,,,,10.1093/schbul/sbab149,White Matter Metabolite Relaxation and Diffusion Abnormalities in First-Episode Psychosis: A Longitudinal Study,4,Varian,,In Vivo,Human,9,25,6,19,22.4,2.6,Years,VAPOR,,,,,0,PRESS,,1,,,48,3000,1,"30,90,120,200",4,FID-A,LCModel,,Monoexponential,SPM,Corona Radiata,WM,,,,,,,10,10,30,3,,,,,
1,X,2022_chen,6,Control,2 Year,,,,10.1093/schbul/sbab149,White Matter Metabolite Relaxation and Diffusion Abnormalities in First-Episode Psychosis: A Longitudinal Study,4,Varian,,In Vivo,Human,,9,3,6,23,2.9,Years,VAPOR,,,,,0,PRESS,,1,,,48,3000,1,"30,90,120,200",4,FID-A,LCModel,,Monoexponential,SPM,Corona Radiata,WM,,,,,,,10,10,30,3,,,,,
1,X,2022_chen,7,Bipolar,2 Year,,,,10.1093/schbul/sbab149,White Matter Metabolite Relaxation and Diffusion Abnormalities in First-Episode Psychosis: A Longitudinal Study,4,Varian,,In Vivo,Human,16,25,6,19,22.4,2.6,Years,VAPOR,,,,,0,PRESS,,1,,,48,3000,1,"30,90,120,200",4,FID-A,LCModel,,Monoexponential,SPM,Corona Radiata,WM,,,,,,,10,10,30,3,,,,,
1,X,2022_chen,8,Schizophrenia,2 Year,,,,10.1093/schbul/sbab149,White Matter Metabolite Relaxation and Diffusion Abnormalities in First-Episode Psychosis: A Longitudinal Study,4,Varian,,In Vivo,Human,9,25,6,19,22.4,2.6,Years,VAPOR,,,,,0,PRESS,,1,,,48,3000,1,"30,90,120,200",4,FID-A,LCModel,,Monoexponential,SPM,Corona Radiata,WM,,,,,,,10,10,30,3,,,,,
