Metabolite,Name,PPM,Reference,ID,DOI,Subject,Tesla,T2,StdDev,R2,Notes,Old_Name,Old_ID
Cho,GPC,,1993_christiansen_11,8,10.1016/0730-725x(93)90197-l,Human,1.5,393,296,2.5445,,,
Cho,GPC,,1995_christiansen_13,1,10.1016/0730-725x(94)00113-h,Human,1.5,341,90,2.9326,,,
Cho,GPC,,1995_christiansen_13,2,10.1016/0730-725x(94)00113-h,Human,1.5,382,91,2.6178,,,
Cho,GPC,3.209,1989_frahm_11,1,10.1002/mrm.1910110105,Human,1.5,380,38,2.6316,"Frahm et al., provided approximate Std.Dev.","Frahm et al., 1989",E
Cho,GPC,3.209,1989_frahm_11,2,10.1002/mrm.1910110105,Human,1.5,330,33,3.0303,,"Frahm et al., 1989",F
Cho,GPC,3.209,1989_frahm_11,3,10.1002/mrm.1910110105,Human,1.5,320,32,3.125,,"Frahm et al., 1989",G
Cho,GPC,3.209,1989_frahm_11,4,10.1002/mrm.1910110105,Human,1.5,410,41,2.439,,"Frahm et al., 1989",H
Cho,GPC,3.2,1992_gideon_10,1,10.1016/0730-725x(92)90453-7,Human,1.5,329.1,168.2,3.0386,,,
Cho,GPC,3.2,1992_gideon_10,2,10.1016/0730-725x(92)90453-7,Human,1.5,270.2,114.4,3.701,,,
Cho,GPC,3.22,2002_isobe_20,1,10.1016/S0730-725X(02)00500-3,Human,1.5,265.4,17.7,3.7679,,"Isobe et al., 2002",B
Cho,GPC,,1994_kamada_31,1,10.1002/mrm.1910310510,Human,1.5,314.03,37.16,3.1844,,,
Cho,GPC,,1994_kamada_31,2,10.1002/mrm.1910310510,Human,1.5,201.78,20.14,4.9559,,,
Cho,GPC,,1994_kamada_31,3,10.1002/mrm.1910310510,Human,1.5,149.61,39.53,6.684,,,
Cho,GPC,,1993_kreis_30,2,10.1002/mrm.1910300405,Human,1.5,395,134.72,2.5316,,"Kreis et al., 1993",B
Cho,GPC,,1993_kreis_30,5,10.1002/mrm.1910300405,Human,1.5,431,89.44,2.3202,,"Kreis et al., 1993",
GPC3,GPC,,2005_kreis_54,1,10.1002/mrm.20673,Human,1.5,180,40,5.5556,,,
Cho,GPC,,1995_longo_30,1,10.1097/00004424-199504000-00001,Human,1.5,274,78,3.6496,,,
Cho,GPC,,1995_longo_30,2,10.1097/00004424-199504000-00001,Human,1.5,234,98,4.2735,,,
Cho,GPC,3.2,2002_mascalchi_16,1,10.1002/jmri.10189,Human,1.5,294,46,3.4014,,,
Cho,GPC,3.2,2002_mascalchi_16,2,10.1002/jmri.10189,Human,1.5,294,50,3.4014,,,
Cho,GPC,3.2,2002_mascalchi_16,3,10.1002/jmri.10189,Human,1.5,303,41,3.3003,,,
Cho,GPC,3.2,2002_mascalchi_16,4,10.1002/jmri.10189,Human,1.5,374,77,2.6738,,,
Cho,GPC,3.2,1991_narayana_9,1,10.1016/0730-725x(91)90415-i,Human,1.5,270,15,3.7037,,,
Cho,GPC,,1995_posse_33,1,10.1002/mrm.1910330215,Human,1.5,305,30.5,3.2787,Assumed 10% Std.Dev.,"Posse et al., 1995",C
Cho,GPC,3.2,2002_rutgers_15,1,10.1002/nbm.762,Human,1.5,352,52,2.8409,,,
Cho,GPC,,2002_sarchielli_249,1,10.1007/s00415-002-0758-5,Human,1.5,356,45,2.809,,,
Cho,GPC,,2002_sarchielli_249,2,10.1007/s00415-002-0758-5,Human,1.5,332,64,3.012,,,
Cho,GPC,,2002_sarchielli_249,3,10.1007/s00415-002-0758-5,Human,1.5,327,54,3.0581,,,
Cho,GPC,3.22,2002_sijens_12,1,10.1007/s00330-001-1300-3,Human,1.5,311,39.69,3.2154,,,
Cho,GPC,3.22,2002_sijens_12,2,10.1007/s00330-001-1300-3,Human,1.5,219,68.79,4.5662,,,
Cho,GPC,3.22,2002_sijens_12,3,10.1007/s00330-001-1300-3,Human,1.5,169,90.1,5.9172,,,
Cho,GPC,3.1- 3.3,2004_sijens_14,2,10.1007/s00330-004-2388-z,Human,1.5,256,92,3.9063,,,
Cho,GPC,,2005_soher_53,1,10.1002/mrm.20491,Human,1.5,400,15,2.5,,"Soher et al., 2005",A
Cho,GPC,3.21,2004_traber_19,1,10.1002/jmri.20053,Human,1.5,330,44,3.0303,,"Traber et al., 2004",A
Cho,GPC,3.21,2004_traber_19,2,10.1002/jmri.20053,Human,1.5,300,33,3.3333,,"Traber et al., 2004",B
Cho,GPC,3.21,2004_traber_19,3,10.1002/jmri.20053,Human,1.5,332,26,3.012,,"Traber et al., 2004",C
Cho,GPC,3.2,2004_walker_220,1,10.1016/j.jns.2004.01.012,Human,1.5,291,34,3.4364,,,
Cho,GPC,3.2,2004_walker_220,2,10.1016/j.jns.2004.01.012,Human,1.5,235,53,4.2553,,,
Cho,GPC,,1999_choi_41,1,10.1002/(SICI)1522-2594(199901)41:1<204::AID-MRM29>3.0.CO;2-7,Human,2,334,106,2.994,,"Choi et al., 1999",B
Cho,GPC,3.2,1992_hennig_5,1,10.1002/nbm.1940050406,Human,2,372,158,2.6882,,"Hennig et al., 1992",A
Cho,GPC,3.2,1992_hennig_5,2,10.1002/nbm.1940050406,Human,2,331,153,3.0211,,"Hennig et al., 1992",B
Cho,GPC,3.2,1992_hennig_5,3,10.1002/nbm.1940050406,Human,2,379,181,2.6385,,"Hennig et al., 1992",C
Cho,GPC,3.2,1992_hennig_5,4,10.1002/nbm.1940050406,Human,2,307,126,3.2573,,"Hennig et al., 1992",D
Cho,GPC,,1992_sappey-marinier_26,1,10.1002/mrm.1910260211,Human,2,278,80.83,3.5971,Control,"Sappey-Marinier et al., 1992",A
Cho,GPC,,1992_sappey-marinier_26,2,10.1002/mrm.1910260211,Human,2,253,110.23,3.9526,Stroke,"Sappey-Marinier et al., 1992",C
Cho,GPC,,1992_sappey-marinier_26,3,10.1002/mrm.1910260211,Human,2,195,87.21,5.1282,WMSH,"Sappey-Marinier et al., 1992",E
Cho,GPC,3.21,1994_blamire_12,1,10.1016/0730-725X(94)90087-8,Human,2.1,296,111.77,3.3784,,,
Cho,GPC,3.21,1994_blamire_12,2,10.1016/0730-725X(94)90087-8,Human,2.1,357,119.06,2.8011,,,
Cho,GPC,3.2,1996_cady_21,1,10.1007/bf02532414,Human,2.4,328.7,88.7,3.0423,,,
Cho,GPC,3.2,1996_cady_21,2,10.1007/bf02532414,Human,2.4,402.5,140.9,2.4845,Assumed 35% Std.Dev. Based on Other Metabolites,,
Cho,GPC,3.2,1996_cady_21,3,10.1007/bf02532414,Human,2.4,397,48.9,2.5189,,,
Cho,GPC,3.2,1996_cady_36,1,10.1002/mrm.1910360610,Human,2.4,343.7,99.9,2.9095,,,
Cho,GPC,3.2,1996_cady_36,3,10.1002/mrm.1910360610,Human,2.4,498.4,239.7,2.0064,,,
Cho,GPC,,1998_fujimori_39,2,10.1002/mrm.1910390419,Rat,2.4,350,67,2.8571,,"Fujimori et al., 1998",B
Cho,GPC,,1998_fujimori_39,5,10.1002/mrm.1910390419,Rat,2.4,333,34,3.003,,"Fujimori et al., 1998",
Cho,GPC,,1998_fujimori_39,9,10.1002/mrm.1910390419,Rat,2.4,322,100,3.1056,,"Fujimori et al., 1998",
tCho,GPC,3.2,1992_rose_23,1,10.1002/mrm.1910230213,Dog,2.4,350,36,2.8571,,,
Cho,GPC,,2001_barker_45,2,10.1002/mrm.1104,Human,3,180,40,5.5556,,"Barker et al., 2001",B
tCho,GPC,,2021_dacko_85,1,10.1002/mrm.28500,Human,3,182,7,5.4945,,,
Cho,GPC,,2018_deelchand_79,1,10.1002/mrm.26826,Human,3,387,40,2.584,LASER,"Deelchand et al., 2018",A
Cho,GPC,,2018_deelchand_79,2,10.1002/mrm.26826,Human,3,319,20,3.1348,PRESS,"Deelchand et al., 2018",B
Cho,GPC,,2020_deelchand_95,1,10.1016/j.neurobiolaging.2020.07.017,Human,3,360,40,2.7778,,"Deelchand et al., 2020",A
Cho,GPC,,2020_deelchand_95,2,10.1016/j.neurobiolaging.2020.07.017,Human,3,323,25,3.096,,"Deelchand et al., 2020",B
Cho,GPC,,2020_deelchand_95,3,10.1016/j.neurobiolaging.2020.07.017,Human,3,442,47,2.2624,,"Deelchand et al., 2020",C
Cho,GPC,,2020_deelchand_95,4,10.1016/j.neurobiolaging.2020.07.017,Human,3,332,20,3.012,,"Deelchand et al., 2020",D
Cho,GPC,,2020_deelchand_95,5,10.1016/j.neurobiolaging.2020.07.017,Human,3,314,30,3.1847,,"Deelchand et al., 2020",E
Cho,GPC,,2020_deelchand_95,6,10.1016/j.neurobiolaging.2020.07.017,Human,3,423,33,2.3641,,"Deelchand et al., 2020",F
Cho,GPC,3.24,2005_dumoulin,1,ISMRM_1179_2005,Human,3,176.38,36.67,5.6696,Aged,"Dumoulin et al., 2005",A
Cho,GPC,3.24,2005_dumoulin,2,ISMRM_1179_2005,Human,3,182.76,42.72,5.4717,MCI,"Dumoulin et al., 2005",B
Cho,GPC,3.24,2005_dumoulin,3,ISMRM_1179_2005,Human,3,189.7,42.72,5.2715,AD,"Dumoulin et al., 2005",C
Cho,GPC,,2019_fleysher_27,1,10.1016/j.mri.2009.05.033,Phantom,3,201,27,4.9751,,,
Cho,GPC,,2019_fleysher_27,2,10.1016/j.mri.2009.05.033,Phantom,3,201,27,4.9751,,,
Cho,GPC,,2019_fleysher_27,3,10.1016/j.mri.2009.05.033,Phantom,3,201,27,4.9751,,,
Cho,GPC,,2019_fleysher_27,4,10.1016/j.mri.2009.05.033,Phantom,3,201,27,4.9751,,,
Cho,GPC,,2019_fleysher_27,5,10.1016/j.mri.2009.05.033,Phantom,3,201,27,4.9751,,,
Cho,GPC,,2019_fleysher_27,6,10.1016/j.mri.2009.05.033,Phantom,3,230,34,4.3478,,,
Cho,GPC,,2019_fleysher_27,7,10.1016/j.mri.2009.05.033,Phantom,3,229,34,4.3668,,,
Cho,GPC,,2019_fleysher_27,8,10.1016/j.mri.2009.05.033,Phantom,3,206,27,4.8544,,,
Cho,GPC,,2019_fleysher_27,9,10.1016/j.mri.2009.05.033,Phantom,3,202,25.5,4.9505,,,
Cho,GPC,,2019_fleysher_27,10,10.1016/j.mri.2009.05.033,Phantom,3,200,26,5,,,
Cho,GPC,3.2,2012_ganji_25,1,10.1002/nbm.1767,Human,3,241,13,4.1494,,"Ganji et al., 2012",A
Cho,GPC,3.2,2012_ganji_25,2,10.1002/nbm.1767,Human,3,224,15,4.4643,,"Ganji et al., 2012",B
Cho,GPC,,2002_hanstock_198,1,10.1016/S0022-510X(02)00074-6,Human,3,245,50,4.0816,Control,"Hanstock et al,. 2002",A
Cho,GPC,,2002_hanstock_198,2,10.1016/S0022-510X(02)00074-6,Human,3,223,55,4.4843,ALS,"Hanstock et al,. 2002",C
Cho,GPC,,2004_hurd_51,1,10.1002/mrm.20007,Human,3,230,74,4.3478,,,
Cho,GPC,,2004_hurd_51,2,10.1002/mrm.20007,Human,3,236,29,4.2373,,,
Cho,GPC,,2016_jiru_29,1,10.1002/nbm.3456,Human,3,266.1,22.1,3.758,,"Jiru et al., 2016",A
Cho,GPC,,2016_jiru_29,2,10.1002/nbm.3456,Human,3,243.8,16.9,4.1017,,"Jiru et al., 2016",B
Cho,GPC,,2008_kirov_60,1,10.1002/mrm.21715,Human,3,211,11.31,4.7393,Caudate,"Kirov et al., 2008",A
Cho,GPC,,2008_kirov_60,2,10.1002/mrm.21715,Human,3,241,33.94,4.1494,Thalamus,"Kirov et al., 2008",B
Cho,GPC,,2008_kirov_60,3,10.1002/mrm.21715,Human,3,255,28.28,3.9216,Cingulate,"Kirov et al., 2008",C
Cho,GPC,,2008_kirov_60,4,10.1002/mrm.21715,Human,3,191,31.11,5.2356,Globus Pallidus,"Kirov et al., 2008",D
Cho,GPC,,2008_kirov_60,5,10.1002/mrm.21715,Human,3,216,42.43,4.6296,Putamen,"Kirov et al., 2008",E
Cho,GPC,,2008_kirov_60,6,10.1002/mrm.21715,Human,3,236,62.23,4.2373,Splenium,"Kirov et al., 2008",F
Cho,GPC,,2008_kirov_60,7,10.1002/mrm.21715,Human,3,247,50.91,4.0486,Genu,"Kirov et al., 2008",G
Cho,GPC,,2008_kirov_60,8,10.1002/mrm.21715,Human,3,245,16.97,4.0816,Centrum Semiovale,"Kirov et al., 2008",H
Cho,GPC,,2008_kirov_60,9,10.1002/mrm.21715,Human,3,228,22.63,4.386,Occipital,"Kirov et al., 2008",I
Cho,GPC,,2008_kirov_60,10,10.1002/mrm.21715,Human,3,234,19.8,4.2735,Corona Radiata,"Kirov et al., 2008",J
Cho,GPC,,2008_kirov_60,11,10.1002/mrm.21715,Human,3,258,26.94,3.876,Caudate,"Kirov et al., 2008",
Cho,GPC,,2008_kirov_60,12,10.1002/mrm.21715,Human,3,268,51.44,3.7313,Thalamus,"Kirov et al., 2008",
Cho,GPC,,2008_kirov_60,13,10.1002/mrm.21715,Human,3,278,44.09,3.5971,Cingulate,"Kirov et al., 2008",
Cho,GPC,,2008_kirov_60,14,10.1002/mrm.21715,Human,3,240,29.39,4.1667,Globus Pallidus,"Kirov et al., 2008",
Cho,GPC,,2008_kirov_60,15,10.1002/mrm.21715,Human,3,271,29.39,3.69,Putamen,"Kirov et al., 2008",
Cho,GPC,,2008_kirov_60,16,10.1002/mrm.21715,Human,3,292,22.05,3.4247,Splenium,"Kirov et al., 2008",
Cho,GPC,,2008_kirov_60,17,10.1002/mrm.21715,Human,3,279,41.64,3.5842,Genu,"Kirov et al., 2008",
Cho,GPC,,2008_kirov_60,18,10.1002/mrm.21715,Human,3,278,24.49,3.5971,Centrum Semiovale,"Kirov et al., 2008",
Cho,GPC,,2008_kirov_60,19,10.1002/mrm.21715,Human,3,289,51.44,3.4602,Occipital,"Kirov et al., 2008",
Cho,GPC,,2008_kirov_60,20,10.1002/mrm.21715,Human,3,256,41.64,3.9063,Corona Radiata,"Kirov et al., 2008",
Cho,GPC,,2008_kirov_60,21,10.1002/mrm.21715,Human,3,254,38.1,3.937,Caudate; Assumed 15% StdDev.,"Kirov et al., 2008",
Cho,GPC,,2008_kirov_60,22,10.1002/mrm.21715,Human,3,241,50,4.1494,Thalamus,"Kirov et al., 2008",
Cho,GPC,,2008_kirov_60,23,10.1002/mrm.21715,Human,3,324,90,3.0864,Cingulate,"Kirov et al., 2008",
Cho,GPC,,2008_kirov_60,24,10.1002/mrm.21715,Human,3,181,10,5.5249,Globus Pallidus,"Kirov et al., 2008",
Cho,GPC,,2008_kirov_60,25,10.1002/mrm.21715,Human,3,196,4,5.102,Putamen,"Kirov et al., 2008",
Cho,GPC,,2008_kirov_60,26,10.1002/mrm.21715,Human,3,207,44,4.8309,Splenium,"Kirov et al., 2008",
Cho,GPC,,2008_kirov_60,27,10.1002/mrm.21715,Human,3,233,52,4.2918,Genu,"Kirov et al., 2008",
Cho,GPC,,2008_kirov_60,28,10.1002/mrm.21715,Human,3,258,44,3.876,Centrum Semiovale,"Kirov et al., 2008",
Cho,GPC,,2008_kirov_60,29,10.1002/mrm.21715,Human,3,272,46,3.6765,Occipital,"Kirov et al., 2008",
Cho,GPC,,2008_kirov_60,30,10.1002/mrm.21715,Human,3,269,86,3.7175,Corona Radiata,"Kirov et al., 2008",
Cho,GPC,,2008_kirov_60,31,10.1002/mrm.21715,Human,3,240,15.56,4.1667,Caudate,"Kirov et al., 2008",
Cho,GPC,,2008_kirov_60,32,10.1002/mrm.21715,Human,3,235,25.46,4.2553,Thalamus,"Kirov et al., 2008",
Cho,GPC,,2008_kirov_60,33,10.1002/mrm.21715,Human,3,291,36.77,3.4364,Cingulate,"Kirov et al., 2008",
Cho,GPC,,2008_kirov_60,34,10.1002/mrm.21715,Human,3,206,12.73,4.8544,Globus Pallidus,"Kirov et al., 2008",
Cho,GPC,,2008_kirov_60,35,10.1002/mrm.21715,Human,3,206,22.63,4.8544,Putamen,"Kirov et al., 2008",
Cho,GPC,,2008_kirov_60,36,10.1002/mrm.21715,Human,3,266,43.84,3.7594,Splenium,"Kirov et al., 2008",
Cho,GPC,,2008_kirov_60,37,10.1002/mrm.21715,Human,3,260,45.25,3.8462,Genu,"Kirov et al., 2008",
Cho,GPC,,2008_kirov_60,38,10.1002/mrm.21715,Human,3,259,21.21,3.861,Centrum Semiovale,"Kirov et al., 2008",
Cho,GPC,,2008_kirov_60,39,10.1002/mrm.21715,Human,3,235,22.63,4.2553,Occipital,"Kirov et al., 2008",
Cho,GPC,,2008_kirov_60,40,10.1002/mrm.21715,Human,3,251,14.14,3.9841,Corona Radiata,"Kirov et al., 2008",
Cho,GPC,3.22,2008_li_28,1,10.1002/jmri.21453,Human,3,169,27,5.9172,,"Li et al., 2008",C
Cho,GPC,,2012_li,1,10.4172/2155-9937.S1-002,Human,3,170,18,5.8824,,"Li et al., 2012",B
Cho,GPC,,2012_liu_19,1,10.1016/j.acra.2012.02.019,Human,3,391.5,19.5,2.5543,,,
Cho,GPC,3.21,2015_madan_73,1,10.1002/mrm.25352,Human,3,240,6,4.1667,Control,"Madan et al., 2015",A
Cho,GPC,3.21,2015_madan_73,2,10.1002/mrm.25352,Human,3,293,37,3.413,Low Grade Tumor,"Madan et al., 2015",B
Cho,GPC,3.21,2015_madan_73,3,10.1002/mrm.25352,Human,3,285,55,3.5088,High Grade Tumor,"Madan et al., 2015",C
Cho,GPC,3.22,2001_mlynarik_14,1,10.1002/nbm.713,Human,3,207,35.78,4.8309,,"Mlyanarik et al., 2001",A
Cho,GPC,3.22,2001_mlynarik_14,2,10.1002/nbm.713,Human,3,187,44.72,5.3476,,"Mlyanarik et al., 2001",B
Cho,GPC,,2021_nosrati_85,1,10.1002/mrm.28644,Human,3,216.92,20.23,4.61,,,
Cho,GPC,,2021_nosrati_85,2,10.1002/mrm.28644,Human,3,219.78,23.19,4.55,,,
Cho,GPC,,2021_nosrati_85,3,10.1002/mrm.28644,Human,3,367.65,240.59,2.72,,,
Cho,GPC,,2014_prescot_27,1,10.1002/nbm.3115,Human,3,280,20,3.5714,,,
Cho,GPC,,2014_prescot_27,2,10.1002/nbm.3115,Human,3,271,20,3.69,,,
Cho,GPC,3.21,2004_traber_19,4,10.1002/jmri.20053,Human,3,222,17,4.5045,,"Traber et al., 2004",E
Cho,GPC,3.21,2004_traber_19,5,10.1002/jmri.20053,Human,3,222,15,4.5045,,"Traber et al., 2004",F
Cho,GPC,3.21,2004_traber_19,6,10.1002/jmri.20053,Human,3,265,29,3.7736,,"Traber et al., 2004",G
Cho,GPC,3.21,2004_traber_19,7,10.1002/jmri.20053,Human,3,242,37,4.1322,,"Traber et al., 2004",H
Cho,GPC,3.21,2004_traber_19,8,10.1002/jmri.20053,Human,3,201,16,4.9751,,"Traber et al., 2004",I
Cho,GPC,3.21,2004_traber_19,9,10.1002/jmri.20053,Human,3,276,13,3.6232,,"Traber et al., 2004",J
Cho,GPC,,2007_tsai_57,1,10.1002/mrm.21225,Human,3,217,17,4.6083,,"Tsai et al., 2007",A
Cho,GPC,,2007_tsai_57,2,10.1002/mrm.21225,Human,3,215,19,4.6512,,"Tsai et al., 2007",B
Cho,GPC,,2007_tsai_57,3,10.1002/mrm.21225,Human,3,229,23,4.3668,,"Tsai et al., 2007",C
Cho,GPC,,2007_tsai_57,4,10.1002/mrm.21225,Human,3,225,26,4.4444,,"Tsai et al., 2007",D
Cho,GPC,,2007_tsai_57,5,10.1002/mrm.21225,Human,3,221,13,4.5249,,"Tsai et al., 2007",E
tCho,GPC,,2009_tuncskarka_48,1,10.1016/j.neuroimage.2009.06.061,Human,3,221.15,19.78,4.5218,,,
tCho,GPC,,2009_tuncskarka_48,2,10.1016/j.neuroimage.2009.06.061,Human,3,220.16,27.54,4.5422,,,
tcho2,GPC,3.21,2018_wyss_80,1,10.1002/mrm.27067,Human,3,218,22,4.5872,,"Wyss et al., 2018",A
tcho2,GPC,3.21,2018_wyss_80,2,10.1002/mrm.27067,Human,3,222,49,4.5045,,"Wyss et al., 2018",B
tcho2,GPC,3.21,2018_wyss_80,3,10.1002/mrm.27067,Human,3,274,61,3.6496,,"Wyss et al., 2018",C
Cho,GPC,3.21,2007_zaaraoui_57,1,10.1002/mrm.21250,Human,3,219,21,59.4,Caudate,"Zaaraoui et al., 2007",A
Cho,GPC,3.21,2007_zaaraoui_57,2,10.1002/mrm.21250,Human,3,198,14,39.6,Thalamus,"Zaaraoui et al., 2007",B
Cho,GPC,3.21,2007_zaaraoui_57,3,10.1002/mrm.21250,Human,3,209,17,48.08,Cingulate,"Zaaraoui et al., 2007",C
Cho,GPC,3.21,2007_zaaraoui_57,4,10.1002/mrm.21250,Human,3,190,15,42.43,Splenium,"Zaaraoui et al., 2007",D
Cho,GPC,3.21,2007_zaaraoui_57,5,10.1002/mrm.21250,Human,3,193,20,56.57,Genu,"Zaaraoui et al., 2007",E
Cho,GPC,3.21,2007_zaaraoui_57,6,10.1002/mrm.21250,Human,3,201,5,14.14,Centrum Semiovale,"Zaaraoui et al., 2007",F
Cho,GPC,3.21,2007_zaaraoui_57,7,10.1002/mrm.21250,Human,3,211,8,22.63,Parietal,"Zaaraoui et al., 2007",G
Cho,GPC,3.21,2007_zaaraoui_57,8,10.1002/mrm.21250,Human,3,199,10,28.28,Occipital,"Zaaraoui et al., 2007",H
Cho,GPC,,2015_zhang_76,1,10.1002/mrm.25922,Human,3,282,12,3.5461,,"Zhang et al., 2015",A
Cho,GPC,,2015_zhang_76,2,10.1002/mrm.25922,Human,3,226,9,4.4248,,"Zhang et al., 2015",B
Cho,GPC,,2022_chen,1,10.1093/schbul/sbab149,Human,4,169.61,23.6,5.8959,,,
Cho,GPC,,2022_chen,2,10.1093/schbul/sbab149,Human,4,177.55,20.47,5.6323,,,
Cho,GPC,,2022_chen,3,10.1093/schbul/sbab149,Human,4,183.71,30.71,5.4434,,,
Cho,GPC,,2022_chen,4,10.1093/schbul/sbab149,Human,4,173.16,21.72,5.775,,,
Cho,GPC,,2022_chen,5,10.1093/schbul/sbab149,Human,4,168.67,17.55,5.9288,,,
Cho,GPC,,2022_chen,6,10.1093/schbul/sbab149,Human,4,168.36,21.31,5.9398,,,
Cho,GPC,,2022_chen,7,10.1093/schbul/sbab149,Human,4,181.2,18.8,5.5187,,,
Cho,GPC,,2022_chen,8,10.1093/schbul/sbab149,Human,4,178.59,21.31,5.5994,,,
Cho,GPC,3.2,2006_degraaf_56,1,10.1002/mrm.20946,Rat,4,569.8,28.8,1.755,,"de Graaf et al., 2006",D
Cho,GPC,,2011_emir_24,1,10.1002/nbm.1583,Human,4,203,20,4.9261,Assumed 10% Std.Dev.,"Emir et al., 2010",A
Cho,GPC,3.2,2013_marjanska_8,1,10.1371/journal.pone.0077572,Human,4,164,29,6.0976,Young,"Marjanska et al., 2013",A
Cho,GPC,3.2,2013_marjanska_8,2,10.1371/journal.pone.0077572,Human,4,147,16,6.8027,Aged,"Marjanska et al., 2013",B
Cho,GPC,,2010_ongur_63,1,10.1002/mrm.22148,Human,4,238,43,4.2017,,"Ongur et al., 2010",A
Cho,GPC,,2010_ongur_63,2,10.1002/mrm.22148,Human,4,190,27,5.2632,,"Ongur et al., 2010",B
Cho,GPC,,1995_posse_33,2,10.1002/mrm.1910330215,Human,4,142,34,7.0423,,"Posse et al., 1995",D
Cho,GPC,3.22,1994_hetherington_32,1,10.1002/mrm.1910320504,Human,4.1,189,25,5.291,,"Hetherington et al., 1994",C
